Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA50,SMA200,RSI,MACD,MACD_Signal,MACD_Histogram,ADX,BB_Upper,BB_Middle,BB_Lower
2020-04-23,30.38316770214665,30.87281734108442,29.35407241889918,30.02630424499512,9849600,0.0,0.0,,,,,,,0.0,,,
2020-04-24,30.68192830192625,30.955798335557365,29.69432839982245,29.951602935791016,8683900,0.0,0.0,,,,,,,0.0,,,
2020-04-27,29.769025431372008,31.04709422935903,28.781428541584862,30.831317901611328,8302500,0.0,0.0,,,,,,,0.0,,,
2020-04-28,31.44545289026109,32.35836053632632,31.17158281255183,31.935102462768555,9445700,0.0,0.0,,,,,,,0.0,,,
2020-04-29,33.25465828387115,35.31284490601576,32.89779496169778,35.03067398071289,12958100,0.0,0.0,,,,,,,0.0,,,
2020-04-30,35.337749896740974,36.1676641376316,33.8936977246078,34.939388275146484,11760700,0.0,0.0,,,,,,,0.0,,,
2020-05-01,33.64473054785874,34.275464099100866,32.12598567569617,32.48284912109375,9256700,0.0,0.0,,,,,,,0.0,,,
2020-05-04,32.05128995378358,33.528539587042665,31.66123237858818,33.49534225463867,12515600,0.0,0.0,,,,,,,0.0,,,
2020-05-05,35.76929999332197,36.15936067210952,33.74431052807984,33.960086822509766,10096700,0.0,0.0,,,,,,,0.0,,,
2020-05-06,34.10117293731291,34.71531080826906,33.047181574941554,33.60322570800781,8213000,0.0,0.0,,,,,,,0.0,,,
2020-05-07,34.8563936379264,35.97677645279699,34.781701239210285,35.2049560546875,9520700,0.0,0.0,,,,,,,0.0,,,
2020-05-08,36.14375559313012,36.33654426305225,35.255251566317696,36.1102294921875,6974200,0.42,0.0,,,,,,,0.0,,,
2020-05-11,35.397760361049336,36.27788401190519,35.27203023808774,35.43128967285156,7076800,0.0,0.0,,,,,,,0.0,,,
2020-05-12,35.724664093918726,36.16891949311774,34.81101110730659,34.85292434692383,7375900,0.0,0.0,,,64.72621925341181,,,,0.0,,,
2020-05-13,34.3835069139222,34.51762090217984,33.142951723156635,33.43632507324219,7666400,0.0,0.0,,,54.93040524016804,,,,0.0,,,
2020-05-14,32.631642988818484,33.9141082738934,31.667696445409707,33.46985626220703,6718700,0.0,0.0,,,55.1036094087615,,,,0.0,,,
2020-05-15,33.41956855257772,34.82776737051833,33.29383845661939,34.257781982421875,7242300,0.0,0.0,,,59.082857288041005,,,,0.0,,,
2020-05-18,36.420370533039225,37.392697886760544,36.18566862177535,36.54610061645508,9047300,0.0,0.0,,,67.96359821329796,,,,0.0,,,
2020-05-19,36.62992146508984,36.78080011330883,35.71626884977705,35.76655960083008,6126300,0.0,0.0,,,62.95109838361872,,,,0.0,,,
2020-05-20,36.53772516176692,37.5519626896332,36.29464248888077,37.00712585449219,7203000,0.0,0.0,,,67.10854574125199,,,,0.0,37.8918441387791,33.91695213317871,29.942060127578323
2020-05-21,37.2082918041362,37.61063384691501,36.56286711128365,36.64669036865234,6646000,0.0,0.0,,,64.83221915233571,,,,0.0,37.96608081117927,34.24797143936157,30.52986206754388
2020-05-22,35.96772459197241,36.3449211327587,35.456414080854266,36.277862548828125,4674000,0.0,0.0,,,62.49612342112045,,,,0.0,37.81335456598547,34.56428442001343,31.31521427404139
2020-05-26,37.56034035432038,37.82018443941184,36.46227974424493,36.604774475097656,7702600,0.0,0.0,,,63.743166335721526,,,,0.0,37.728516486969006,34.852957248687744,31.97739801040648
2020-05-27,37.16638060259406,37.451373273602975,36.00964526761316,37.442989349365234,5768100,0.0,0.0,,,66.7921511667056,,,,0.0,37.88595031282344,35.12835159301758,32.370752873211714
2020-05-28,37.48490292623902,37.48490292623902,35.858766942165886,36.05155563354492,5871500,0.0,0.0,,,58.06326752148563,,,,0.0,37.965518728017805,35.17939567565918,32.393272623300554
2020-05-29,35.71628618033558,35.85878097416829,34.928363257862685,35.35585403442383,10172200,0.0,0.0,,,54.24605289669366,1.1832201937161742,,,0.0,37.9850805446739,35.200218963623044,32.41535738257219
2020-06-01,35.422896999934,36.62992634653944,34.9032055854402,36.370079040527344,6344300,0.0,0.0,,,58.52670241084554,1.1425800401213593,,,0.0,37.92464828651895,35.39458045959473,32.86451263267051
2020-06-02,36.89815544596651,37.45975690732899,36.629927405087344,37.04903411865234,5858300,0.0,0.0,,,61.14726259349683,1.1518802674388553,,,22.17706116384647,38.04228087872737,35.57226505279541,33.10224922686345
