Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA50,SMA200,RSI,MACD,MACD_Signal,MACD_Histogram,ADX,BB_Upper,BB_Middle,BB_Lower
2020-04-23,193.76182870355785,195.1558555202843,186.1701129237835,187.59078979492188,1113900,0.0,0.0,,,,,,,0.0,,,
2020-04-24,189.393228801217,192.9715432407662,188.4431484492464,192.48318481445312,811900,0.0,0.0,,,,,,,0.0,,,
2020-04-27,192.19018848238068,197.51770590974303,191.35554191765488,197.3489990234375,1194300,0.0,0.0,,,,,,,0.0,,,
2020-04-28,200.15480684026747,201.7353024251315,196.33675038020084,198.5565490722656,1093400,0.0,0.0,,,,,,,0.0,,,
2020-04-29,200.6520612854285,205.8907948945568,199.81741471915052,204.81640625,1323800,0.0,0.0,,,,,,,0.0,,,
2020-04-30,200.58990533106245,202.88961367422343,199.0271582789377,200.29689025878903,1284000,0.0,0.0,,,,,,,0.0,,,
2020-05-01,195.68860264756603,197.91727599506848,194.3389610444081,197.3401336669922,827200,0.0,0.0,,,,,,,0.0,,,
2020-05-04,196.71857562390696,199.34680985943467,194.9161000523392,198.3168334960937,1345100,0.0,0.0,,,,,,,0.0,,,
2020-05-05,199.781910886088,202.2769628053818,198.47666798441267,199.16036987304688,1106400,0.0,0.0,,,,,,,0.0,,,
2020-05-06,198.65422377547367,201.1137645572588,197.9438854735033,198.3434600830078,1314400,0.0,0.0,,,,,,,0.0,,,
2020-05-07,200.8030016317039,202.82745713007105,198.14813083746984,201.38015747070312,761700,0.0,0.0,,,,,,,0.0,,,
2020-05-08,205.1804457005168,207.3824823314662,203.5022783382658,207.3114471435547,808700,0.0,0.0,,,,,,,0.0,,,
2020-05-11,203.3335912862457,207.35586604745416,202.34799997431247,206.59225463867188,852300,0.0,0.0,,,,,,,0.0,,,
2020-05-12,206.56561504245903,207.9063687599351,204.28366871748264,204.45236206054688,1062800,0.0,0.0,,,68.52605608020205,,,,0.0,,,
2020-05-13,204.08832194269183,206.7520806965304,198.2635580868264,200.5277557373047,1128400,0.0,0.0,,,58.40146171143921,,,,0.0,,,
2020-05-14,196.8606424399573,200.4655935178801,194.9160965263545,200.3323974609375,958900,0.0,0.0,,,57.94253872191173,,,,0.0,,,
2020-05-15,199.5332697214864,202.5521905808377,197.5798495449311,202.4811553955078,1441300,0.0,0.0,,,61.52389524688503,,,,0.0,,,
2020-05-18,209.4868598145546,214.27275935301347,209.41583817096785,212.1683807373047,1159300,0.0,0.0,,,72.77818649796666,,,,0.0,,,
2020-05-19,211.04958743423245,212.40810318091425,209.36253226059057,209.5756378173828,720400,0.0,0.0,,,67.11944149762869,,,,0.0,,,
2020-05-20,212.79880276676244,215.1162733359709,211.79544933895343,212.9231109619141,781700,0.0,0.0,,,70.32732056029081,,,,0.0,213.74082440424203,201.59991378784176,189.4590031714416
2020-05-21,212.1950248533924,213.32268655301849,208.82981548891468,209.1405792236328,736200,0.0,0.0,,,62.86401720908412,,,,0.0,213.3955650598992,202.67740325927736,191.95924145865555
2020-05-22,208.181640816706,209.4513593745636,207.03621691557493,208.0839691162109,775100,0.0,0.0,,,60.9192030855841,,,,0.0,213.33200173586755,203.4574424743652,193.5828832128629
2020-05-26,212.1595209384249,213.562435595382,210.6500602602185,211.1472930908203,1043100,0.0,0.0,,,64.36157163675111,,,,0.0,214.14571382466715,204.1473571777344,194.1490005308016
2020-05-27,213.32265322475257,213.67781559425,206.3613678134261,208.8031463623047,1025700,0.0,0.0,,,60.00581283179923,,,,0.0,214.50859843440648,204.6596870422364,194.81077565006612
2020-05-28,212.29269411851416,215.6401548073669,210.1439303102567,213.70448303222656,930100,0.0,0.0,,,65.2945215112088,,,,0.0,215.71388971261885,205.10409088134764,194.49429205007644
2020-05-29,214.2549864140986,215.7378104110888,212.70112722850945,214.5657501220703,1241800,0.0,0.0,,,66.14179706335497,4.865205839457673,,,0.0,216.9447343838253,205.81753387451167,194.6903333651981
2020-06-01,214.97418581760192,217.19398451732167,212.5945545662428,215.4092712402344,711700,0.0,0.0,,,66.99174437275536,5.004600315735388,,,0.0,217.88238296610908,206.72099075317385,195.55959854023857
2020-06-02,215.35598939467965,217.9220762056639,214.70781195380457,217.80665588378903,933700,0.0,0.0,,,69.34694700645677,5.248024389048652,,,31.23514670435252,219.1510729442237,207.6954818725586,196.23989080089348
2020-06-03,219.2717813237052,222.5215708866109,217.8777543502081,220.612548828125,849100,0.0,0.0,,,71.87622935465984,5.602766625647973,,,31.806525238083427,220.82748978378004,208.7680908203125,196.7086918568449
2020-06-04,219.6268893485614,220.93213207132283,215.8621058664267,216.625717163086,1210300,0.0,0.0,,,63.81851682675153,5.498811531463133,,,31.803918426816857,221.20177689850132,209.6822036743164,198.16263045013145
2020-06-05,221.8289546726733,222.2817887899173,219.6979395094938,220.71905517578125,1243100,0.0,0.0,,,67.80875361564128,5.681234800206113,,,31.98288927473303,222.46178000233428,210.6491485595703,198.8365171168064
2020-06-08,219.25393896843127,221.82003913504155,218.41930608266733,221.60693359375,889400,0.0,0.0,,,68.61722421482095,5.830243505068296,,,31.79810673254762,223.9845889776815,211.3639228820801,198.74325678647867
2020-06-09,219.65353466603017,223.1341775502483,218.2772567036176,222.7523651123047,1014400,0.0,0.0,,,69.67531527823036,5.971920149901223,,,31.82278375132693,225.51566404135733,212.1719284057617,198.82819277016603
2020-06-10,223.7113456868033,224.23521501126652,219.7512317663728,220.0797576904297,625900,0.0,0.0,,,64.23349760046156,5.80166484767031,5.562817224789916,0.2388476228803941,32.010117260320655,226.2273909117472,212.95329818725585,199.67920546276457
2020-06-11,216.10187327794543,217.0697023754824,206.55673772395247,206.956298828125,1370100,0.0,0.0,,,45.45855864975936,4.555272495394775,5.361308278910888,-0.8060357835161129,30.187360704746244,225.60769964742417,213.27472534179688,200.9417510361696
2020-06-12,212.10619992214183,213.1095396751724,204.7808645504513,208.6965789794922,854300,0.0,0.0,,,47.643999043633976,3.6656681004686495,5.02218024322244,-1.3565121427537896,28.777120133170943,224.742539592857,213.69293441772464,202.64332924259224
2020-06-15,204.2215046244092,211.68002372169565,203.4845297427613,210.44581604003903,709300,0.0,0.0,,,49.820471223947294,3.066450883057712,4.631034371189495,-1.5645834881317828,27.673331566934973,224.01222455681352,214.0911674499512,204.1701103430888
2020-06-16,214.1839580769713,215.5069631033676,210.09064834947927,211.36036682128903,961600,0.0,0.0,,,50.96812010178901,2.6349890128433344,4.231825299520263,-1.596836286676928,25.89754540621352,224.00932477823065,214.0507667541504,204.09220873007013
2020-06-17,213.21613360065595,213.5801703324244,210.21496107739583,210.8365020751953,513900,0.0,0.0,,,50.25904421860188,2.225130940903284,3.830486427796867,-1.6053554868935829,24.248601114115026,223.9737249675541,214.11380996704105,204.2538949665279
2020-06-18,210.9430452932976,212.7099964538037,209.7621107146937,211.42251586914065,678400,0.0,0.0,,,51.078948642909054,1.9254069884341904,3.449470539924332,-1.5240635514901415,22.80469852385652,223.9564647164152,214.0387802124024,204.1210957083896
2020-06-19,214.8321416947612,214.8321416947612,209.00739136287092,209.1139373779297,1386600,0.0,0.0,,,47.74040762566252,1.484478462403871,3.05647212442024,-1.5719936620163688,21.33092553075281,223.9577706767093,214.0374481201172,204.117125563525
2020-06-22,208.749908821947,210.9963443846297,207.4180293872223,209.9663543701172,667200,0.0,0.0,,,49.06423018506261,1.1901035828406066,2.683198416104313,-1.4930948332637066,19.987160545357504,223.85799243514583,214.1315673828125,204.4051423304792
2020-06-23,212.5591032376083,213.3848756302736,210.00189008429632,212.292724609375,975900,0.0,0.0,,,52.59371336221759,1.131484951752185,2.372855723233888,-1.2413707714817028,18.886033350763576,223.85761934222893,214.18883895874023,204.5200585752516
2020-06-24,210.4191906556912,212.2039177875928,204.2215154162268,207.00958251953125,1164400,0.0,0.0,,,44.97236054615868,0.6512170261910626,2.028527983825323,-1.3773109576342604,18.35114187379899,223.9966530271128,214.0991607666016,204.2016685060904
2020-06-25,206.8319933741318,211.0140870944836,204.86968510071983,210.7033233642578,860400,0.0,0.0,,,50.38568486102904,0.5621748496049577,1.73525735698125,-1.1730825073762925,17.854456930903307,223.9563737240332,213.9491027832032,203.94183184237303
2020-06-26,210.04628892960127,211.3515320151496,208.1550155712395,209.5668182373047,1243700,0.0,0.0,,,48.79512769279136,0.3953445319004345,1.467274791965087,-1.0719302600646523,17.311824101300292,223.8805318948032,213.69915618896485,203.51778048312656
2020-06-29,211.8664703369141,213.03851702003692,209.3714187344173,211.8664703369141,993300,0.0,0.0,,,52.09074630057884,0.4435796979765314,1.262535773167376,-0.8189560751908447,16.396711571938997,223.70149283318585,213.5220161437988,203.3425394544118
2020-06-30,210.8753260550793,217.0276416262216,210.73245332517544,215.60787963867188,1544500,1.34,0.0,,,56.94584933537082,0.7747757444957415,1.1649837674330492,-0.3902080229373077,15.780133078605632,223.45059999494129,213.41207733154292,203.37355466814464
2020-07-01,216.00074596472652,218.6349123698588,213.73269942320883,217.65267944335932,1049100,0.0,0.0,,,59.36929696397062,1.188548406450309,1.169696695236501,0.0188517112138077,15.52685167430619,222.95487909775068,213.2640838623047,203.5732886268587
2020-07-02,218.920677094334,221.23337341198103,218.6974435434006,220.9297790527344,1333000,0.0,0.0,208.74966857910155,,62.96704323256044,1.760605607231497,1.2878784776355003,0.4727271295959967,15.779416459892856,223.63894854901423,213.47928695678712,203.31962536456
