Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA50,SMA200,RSI,MACD,MACD_Signal,MACD_Histogram,ADX,BB_Upper,BB_Middle,BB_Lower
2020-04-23,77.19503409720377,77.99284411808986,75.95008926788178,76.0552978515625,2974600,0.0,0.0,,,,,,,0.0,,,
2020-04-24,76.35336887631829,78.49256297784282,76.05528796122856,78.06297302246094,2916300,0.0,0.0,,,,,,,0.0,,,
2020-04-27,79.63229614083099,81.25422307445929,78.66790769560556,80.51777648925781,2539400,0.0,0.0,,,,,,,0.0,,,
2020-04-28,82.50792728899836,82.56929727830185,78.24707749213556,78.54515838623047,3141800,0.0,0.0,,,,,,,0.0,,,
2020-04-29,80.26354423254375,80.65806469956468,78.8958594566262,79.04490661621094,3151300,0.0,0.0,,,,,,,0.0,,,
2020-04-30,77.77366368354923,78.52764180244696,76.16926791737187,78.22956085205078,3377000,0.0,0.0,,,,,,,0.0,,,
2020-05-01,76.5725649015845,77.70353218998669,75.4766671440819,76.14297485351562,2643300,0.0,0.0,,,,,,,0.0,,,
2020-05-04,75.26624493433418,76.54625251323877,74.74021543036118,76.38844299316406,2212200,0.0,0.0,,,,,,,0.0,,,
2020-05-05,77.36159201846488,77.96652955989848,76.54624403650853,76.92323303222656,1845400,0.0,0.0,,,,,,,0.0,,,
2020-05-06,77.23885989571458,78.01037607083761,76.16050042559922,76.22187042236328,2277100,0.0,0.0,,,,,,,0.0,,,
2020-05-07,77.26516350644769,77.9577716059685,76.5725554069269,77.21256256103516,2704200,0.0,0.0,,,,,,,0.0,,,
2020-05-08,79.15885296336266,79.16762201445535,77.70349816797953,78.87830352783203,2249000,0.0,0.0,,,,,,,0.0,,,
2020-05-11,77.77365089452482,79.10626596458015,77.40543094970452,77.92269134521484,3627800,0.0,0.0,,,,,,,0.0,,,
2020-05-12,78.10680903686874,78.10680903686874,73.82842729659416,73.83719635009766,4440100,0.0,0.0,,,37.72826024702268,,,,0.0,,,
2020-05-13,73.2585497002267,74.27554573201206,72.38183175096088,72.62731170654297,3935500,0.0,0.0,,,34.30358395130651,,,,0.0,,,
2020-05-14,71.58403694801835,73.71446228027344,70.24265927378895,73.71446228027344,4389700,0.0,0.0,,,39.60828068681281,,,,0.0,,,
2020-05-15,72.90786728062221,73.62677572563994,71.89087125708019,73.01306915283203,4971900,0.0,0.0,,,37.50423262207969,,,,0.0,,,
2020-05-18,75.70459206638901,76.92322945637578,74.59116323618653,76.12541961669922,3123300,0.0,0.0,,,50.156999718665375,,,,0.0,,,
2020-05-19,75.66077182084712,76.35337320727173,74.10897709726785,74.24048614501953,3093100,0.0,0.0,,,44.3064808929591,,,,0.0,,,
2020-05-20,75.4678741926822,76.53747104073578,75.1785556966363,76.3796615600586,2519300,0.0,0.0,,,51.25550001154515,,,,0.0,80.70617426868972,76.50416793823243,72.30216160777513
2020-05-21,75.81856738245884,76.68651623570877,75.35390127410257,75.74842834472656,3091900,0.0,0.0,,,49.30070984206956,,,,0.0,80.69950696195866,76.48882446289062,72.27814196382258
2020-05-22,75.3363674628483,76.85309233363897,75.3363674628483,76.75665283203125,1276000,0.0,0.0,,,52.42189068650229,,,,0.0,80.5745974735062,76.42350845336914,72.27241943323207
2020-05-26,79.06242010275915,79.51831046544505,77.87008322948624,78.9221420288086,2743400,0.0,0.0,,,58.35238213066893,,,,0.0,80.22986972291804,76.34372673034667,72.45758373777531
2020-05-27,80.65805754588757,80.65805754588757,78.44873108662786,80.44764709472656,3045000,0.0,0.0,,,61.95049536805247,,,,0.0,80.61797606581706,76.43885116577148,72.2597262657259
2020-05-28,81.5347670800451,81.8328479641094,79.99174165813184,81.57860565185547,2616900,0.0,0.0,,,64.40567431317396,,,,0.0,81.18354422229321,76.5655361175537,71.9475280128142
2020-05-29,80.78079502313535,81.23669212345095,79.79886846684805,80.21969604492188,3769900,0.0,0.0,,,59.442497432729134,0.8359076292595091,,,0.0,81.50272556275382,76.66504287719727,71.82736019164071
2020-06-01,80.62299565557525,82.9024613773073,80.25477565897518,82.14848327636719,2310600,0.0,0.0,,,63.716398341157664,1.1056384667126622,,,0.0,82.35063399660154,76.96531829833984,71.58000260007813
2020-06-02,82.95505034584723,83.77039826275792,81.9117539014059,83.69149017333984,3143300,0.0,0.0,,,66.73629507336237,1.427455046621489,,,17.081758791094366,83.4501112336937,77.33047065734863,71.21083008100355
2020-06-03,83.99835088480022,85.67288550424846,83.72657044054894,85.32219696044922,2970000,0.0,0.0,,,69.61461545882554,1.7934081216286302,,,18.938588158995056,84.78497244279755,77.75041885375977,70.71586526472198
2020-06-04,84.52439870227435,84.86631824020756,81.07889616024623,81.84163665771484,3326300,0.0,0.0,,,58.06559031614441,1.7820342602721837,,,19.156730347203275,85.24593743672999,78.03140716552734,70.8168768943247
2020-06-05,84.32273355974885,85.4098619559802,83.62135651705478,83.91067504882812,3612200,0.0,0.0,,,62.091680514487685,1.917866528184021,,,19.535098320886885,86.006984016751,78.36631278991699,70.72564156308297
2020-06-08,83.90191448985802,85.89206820389246,83.5862954575779,85.71672058105469,3536700,0.0,0.0,,,65.2297702367853,2.146503800165121,,,20.04434580911759,86.99469786772823,78.70823364257812,70.42176941742801
2020-06-09,84.45425270026576,86.10248025240914,83.92822319969473,85.33097076416016,2888800,0.0,0.0,,,64.0109302882224,2.270401919028629,,,20.58827287054557,87.8402329364751,79.07864761352539,70.31706229057568
2020-06-10,84.49807638694347,85.52384150562612,83.77916791189607,84.52438354492188,2378700,0.0,0.0,,,61.42637396005129,2.2772564286374006,1.814830275044316,0.4624261535930853,20.999953784438883,88.3342375841081,79.61300697326661,70.89177636242512
2020-06-11,82.20108337202295,82.55177191754936,79.60599883725173,79.70243835449219,4992400,0.0,0.0,,,48.75307933605596,1.87201853432353,1.8262679269001585,0.0457506074233717,19.74716646432265,88.07853876601293,79.96676330566406,71.8549878453152
2020-06-12,82.05204168276866,83.39342596028919,80.07066364308756,82.81478881835938,4247000,0.0,0.0,,,55.18070506398378,1.7814695825134803,1.8173082580228228,-0.0358386755093422,18.44970522690196,88.08837848276866,80.42177963256836,72.75518078236806
2020-06-15,80.19485451507117,84.08506434907441,80.15956832574147,83.26467895507812,3647800,0.58,0.0,,,56.03903194525861,1.7261136957622227,1.799069345570703,-0.0729556498084802,17.535655203743236,87.88881193512368,80.93436012268066,73.97990831023763
2020-06-16,86.44917496642161,86.72263448868726,84.19972945635712,85.47882843017578,3441600,0.0,0.0,,,60.08996401876531,1.839700196226857,1.807195515701934,0.0325046805249236,17.665334537835427,88.25730547606393,81.40203056335449,74.54675565064504
2020-06-17,86.4403606617144,86.4403606617144,84.56141653672441,85.30240631103516,2713500,0.0,0.0,,,59.61855278826646,1.893653664907589,1.824487145543065,0.0691665193645238,17.785751062349604,88.16448852395703,81.95512657165527,75.74576461935351
2020-06-18,84.24381937983426,84.58785119281634,83.40579454926768,83.88214111328125,2314000,0.0,0.0,,,55.82187702065976,1.80104729365533,1.8197991751655185,-0.0187518815101883,17.311832641628694,88.03277795826828,82.3302505493164,76.62772314036452
