Price,('Close', 'INAG.BA'),('High', 'INAG.BA'),('Low', 'INAG.BA'),('Open', 'INAG.BA'),('Volume', 'INAG.BA')
Ticker,INAG.BA,INAG.BA,INAG.BA,INAG.BA,INAG.BA
Date,,,,,
2020-04-17,153.50662231445312,153.50662231445312,153.50662231445312,153.50662231445312,0
2020-04-20,153.50662231445312,153.50662231445312,153.50662231445312,153.50662231445312,10
2020-04-21,161.93077087402344,166.6108509570877,161.93077087402344,166.6108509570877,43
2020-04-22,177.37503051757812,177.37503051757812,163.8027986310088,163.8027986310088,29
2020-04-23,177.37503051757812,177.37503051757812,177.37503051757812,177.37503051757812,53
2020-04-24,187.2032012939453,187.2032012939453,187.2032012939453,187.2032012939453,3
2020-04-27,188.13922119140625,188.13922119140625,188.13922119140625,188.13922119140625,15
2020-04-28,177.843017578125,181.58708110608552,177.843017578125,181.58708110608552,94
2020-04-29,187.2032012939453,187.2032012939453,187.2032012939453,187.2032012939453,9
2020-04-30,187.2032012939453,187.2032012939453,187.2032012939453,187.2032012939453,9
2020-05-04,187.2032012939453,187.2032012939453,187.2032012939453,187.2032012939453,156
2020-05-05,187.2032012939453,187.2032012939453,187.2032012939453,187.2032012939453,0
2020-05-06,187.2032012939453,187.2032012939453,187.2032012939453,187.2032012939453,0
2020-05-07,187.2032012939453,196.5633613586426,187.2032012939453,196.5633613586426,108
2020-05-08,187.2032012939453,187.2032012939453,187.2032012939453,187.2032012939453,7
2020-05-11,187.2032012939453,187.2032012939453,187.2032012939453,187.2032012939453,90
2020-05-12,191.88328552246094,191.88328552246094,191.88328552246094,191.88328552246094,8
2020-05-13,191.88328552246094,191.88328552246094,191.88328552246094,191.88328552246094,2
2020-05-14,196.56336975097656,196.56336975097656,196.56336975097656,196.56336975097656,5
2020-05-15,198.90338134765625,199.37138930376838,198.90338134765625,199.37138930376838,95
2020-05-18,198.90338134765625,218.7937194824219,198.90338134765625,218.7937194824219,115
2020-05-19,193.75531005859375,193.75531005859375,193.75531005859375,193.75531005859375,21
2020-05-20,191.88328552246094,191.88328552246094,191.88328552246094,191.88328552246094,50
2020-05-21,191.88328552246094,191.88328552246094,191.88328552246094,191.88328552246094,50
2020-05-22,191.88328552246094,191.88328552246094,182.52312525307258,182.52312525307258,20
2020-05-26,191.88328552246094,191.88328552246094,191.88328552246094,191.88328552246094,0
2020-05-27,205.92352294921875,205.92352294921875,205.92352294921875,205.92352294921875,8
2020-05-28,205.92352294921875,205.92352294921875,205.92352294921875,205.92352294921875,14
2020-05-29,205.92352294921875,205.92352294921875,196.56336281516334,196.56336281516334,201
2020-06-01,205.92352294921875,205.92352294921875,205.92352294921875,205.92352294921875,0
2020-06-02,187.2032012939453,205.92352142333985,187.2032012939453,205.92352142333985,215
2020-06-03,187.2032012939453,187.2032012939453,187.2032012939453,187.2032012939453,17
2020-06-04,174.09898376464844,191.88328855781145,173.16296772290303,191.88328855781145,128
2020-06-05,163.8027801513672,177.8430184500558,163.8027801513672,175.03497079031808,657
2020-06-08,172.92893981933594,172.92893981933594,172.92893981933594,172.92893981933594,49
2020-06-09,168.01486206054688,168.01486206054688,168.01486206054688,168.01486206054688,22
2020-06-10,168.01486206054688,168.01486206054688,168.01486206054688,168.01486206054688,34
2020-06-11,168.01486206054688,168.01486206054688,168.01486206054688,168.01486206054688,557
2020-06-12,173.16293334960938,173.16293334960938,173.16293334960938,173.16293334960938,70
2020-06-16,173.63096618652344,173.63096618652344,173.63096618652344,173.63096618652344,47
2020-06-17,173.63096618652344,173.63096618652344,173.63096618652344,173.63096618652344,0
2020-06-18,173.63096618652344,173.63096618652344,173.63096618652344,173.63096618652344,0
