Price,('Close', 'GGAL.BA'),('High', 'GGAL.BA'),('Low', 'GGAL.BA'),('Open', 'GGAL.BA'),('Volume', 'GGAL.BA')
Ticker,GGAL.BA,GGAL.BA,GGAL.BA,GGAL.BA,GGAL.BA
Date,,,,,
2020-04-17,74.39440155029297,79.0532468300916,72.57990541159955,77.43490960472286,4386698
2020-04-20,76.6502685546875,77.6310781139721,72.6289508582173,74.00207825482924,2318444
2020-04-21,74.14920043945312,76.40506539630921,73.85496206441734,76.40506539630921,1039832
2020-04-22,73.21743774414062,75.37521585938127,72.77606893671638,74.19824733888335,1446689
2020-04-23,70.22595977783203,73.46263417054489,70.02980086802394,72.92318594409849,1740319
2020-04-24,66.98929595947266,68.60762574752778,64.48822858759695,67.92106204853367,2884492
2020-04-27,68.41146087646484,69.09802451572384,64.04686170621311,65.51807591861021,3087849
2020-04-28,79.93598175048828,80.52446600910993,71.74622315363001,71.74622315363001,4543382
2020-04-29,80.96583557128906,85.33043530338372,79.4455776962538,83.36881610100708,2448241
2020-04-30,79.10228729248047,84.3496165957349,77.63107304953161,81.40718810983716,1649582
2020-05-04,79.8869400024414,80.42638828289815,74.5905740775154,78.46476905648599,2305061
2020-05-05,81.94664001464844,82.8784060839374,77.68011253163336,81.456235244921,2693383
2020-05-06,84.88906860351562,86.80164421159488,78.56284258644014,80.42638220735344,3465167
2020-05-07,92.19609832763672,95.432772857864,83.27073285847275,86.11508206943263,5846910
2020-05-08,92.53937530517578,97.05109753182411,91.75473219092281,95.18756545860911,3802223
2020-05-11,102.73979949951172,103.08308134253164,88.32190222881161,92.19609692557616,3773446
2020-05-12,103.86772918701172,109.40930444612806,102.98499912647397,102.98499912647397,5292780
2020-05-13,97.83574676513672,100.43489341388975,96.31548906030498,99.01271516159947,1761083
2020-05-14,102.49459838867188,104.75046335596983,96.11933628794108,96.11933628794108,2932154
2020-05-15,100.87625885009766,105.04469936029165,100.1406517012399,104.94661990370717,4239090
2020-05-18,104.60334014892578,107.39864587369944,100.53297901419354,103.8677329854073,3604990
2020-05-19,99.9935302734375,103.62253008531198,99.11080766796545,101.41570860566588,2684965
2020-05-20,102.7888412475586,103.62252784749076,99.3560079089109,101.51378587143918,2344662
2020-05-21,108.86985778808594,111.1257226994106,100.58202025596984,102.98500061035156,4671359
2020-05-22,107.25151824951172,112.59693456020933,104.84853794706726,106.81015696391422,4146564
2020-05-26,106.6139907836914,111.22379997220557,105.92742711962765,109.45833986035203,3121819
2020-05-27,105.58414459228516,107.59479958550682,98.08095039079296,105.9274264220564,3124776
2020-05-28,98.37519836425781,103.96580966433555,96.11933346325362,103.96580966433555,4523349
2020-05-29,91.36241149902344,100.48393586615867,89.54791531978012,97.98287599195292,6820385
2020-06-01,97.63958740234375,98.08094867820265,94.15771073107454,95.33467912201996,4073046
2020-06-02,105.87838745117188,106.02551037960409,101.02338319378974,101.02338319378974,4594344
2020-06-03,115.09799194335938,115.73551960728415,105.92742472531091,106.90823421350824,6671307
2020-06-04,115.19607543945312,116.91249210405194,112.30269034089395,114.75471414746369,4711663
2020-06-05,118.92315673828125,121.08093473332906,117.30481950050394,117.7952242705587,3909515
2020-06-08,130.93807983398438,131.9188894207558,121.66943223218779,124.17049218866492,5670460
2020-06-09,123.6800765991211,127.50523515022435,120.73764809565438,124.56280664675764,3747368
2020-06-10,125.34745788574219,127.50523580619237,116.71633123797609,122.60118827518497,4320965
2020-06-11,114.36238861083984,123.53295613229244,113.77390439504822,123.33679722135616,4438391
2020-06-12,117.30482482910156,120.59053544112605,112.84214570867475,119.65876932888949,3242568
2020-06-16,114.60758972167969,121.2280539127226,114.06814898108804,117.79522062847813,2307323
2020-06-17,107.84001159667969,114.50951981234812,106.95728895067995,114.26431741446301,3319928
2020-06-18,100.63105773925781,105.19182361642676,100.04257350932895,104.94662123037448,4916004
2020-06-19,111.76324462890625,112.49885178745451,104.45621651385336,104.94662128621887,5776505
2020-06-22,108.03617858886719,113.87199269689044,104.65238098996836,113.28350843538124,3781449
2020-06-23,109.70354461669922,113.38158036032782,108.86985801140665,109.80162407326607,2680351
2020-06-24,108.37945556640625,112.7440550824484,107.4967254724362,108.37945556640625,2460557
2020-06-25,114.01910400390625,114.50950875231015,111.1257189815163,112.00844154225723,3244766
2020-06-26,108.28137969970703,112.30269750232009,107.9871338309618,112.30269750232009,2642888
2020-06-29,107.69288635253906,111.76323980095518,105.58414442586425,108.86985476218038,1589909
2020-06-30,101.21954345703125,106.90824189025648,100.58202323031068,105.92743233163027,3686614
2020-07-01,103.91676330566406,104.26005261630311,101.02337828015368,101.95514430993292,1084997
2020-07-02,100.48393249511719,105.87838486393814,100.0425712035886,105.87838486393814,2438370
2020-07-03,102.00418853759766,102.78883913492609,100.04256952725925,100.48393081139231,1055275
2020-07-06,120.19821166992188,121.62038250440115,111.95941006818845,111.95941006818845,6690947
2020-07-07,117.59906768798828,118.67795670690901,114.26431368888348,114.75471846866408,3304441
2020-07-08,118.62891387939453,119.85492583549816,116.76538169250351,119.65876691571484,2298585
2020-07-13,123.7291259765625,129.2216579487555,122.11078872576896,123.38584413135975,4458635
2020-07-14,125.44554138183594,125.54362083901984,120.63957314999563,122.012707999519,2924644
