Price,('Close', 'SUPV'),('High', 'SUPV'),('Low', 'SUPV'),('Open', 'SUPV'),('Volume', 'SUPV')
Ticker,SUPV,SUPV,SUPV,SUPV,SUPV
Date,,,,,
2020-04-17,1.5923810005187988,1.6766834413139051,1.5549131373915999,1.6485826277155362,539700
2020-04-20,1.6392157077789307,1.6673165216846624,1.5174454025247186,1.5549131543990273,419500
2020-04-21,1.5642801523208618,1.6579496472593587,1.5268123990105482,1.5923810789663098,201700
2020-04-22,1.461243748664856,1.603621415122016,1.4425098716300833,1.5642801840188212,394700
2020-04-23,1.4237760305404663,1.5923811514355162,1.4050421530327315,1.4706108359725216,330300
2020-04-24,1.3441568613052368,1.4425098241641978,1.3263597233729048,1.4237759477458647,407300
2020-04-27,1.330106496810913,1.4425098706021673,1.2645379272359318,1.3863082395378976,540400
2020-04-28,1.4987115859985352,1.564280154377803,1.3582073992373909,1.3582073992373909,1265800
2020-04-29,1.6673166751861572,1.7235184198345421,1.5642802363830506,1.639215858693324,778400
2020-04-30,1.5830141305923462,1.7235183162770444,1.4987115745164423,1.695417389809935,449200
2020-05-01,1.4425097703933716,1.5333691569655932,1.4219025294339003,1.5174453849361247,441200
2020-05-04,1.5268124341964722,1.5455463112833576,1.4237759985558862,1.4237759985558862,389600
2020-05-05,1.4987115859985352,1.6673165877793656,1.470610770978849,1.564280154377803,290100
2020-05-06,1.545546293258667,1.5923810970923928,1.433142920385525,1.5642801701270717,363200
2020-05-07,1.7516192197799683,1.807820852234702,1.5080785891506865,1.5923811494955047,1230600
2020-05-08,1.7047845125198364,1.8733895202068582,1.6766835848530688,1.8640225815388414,1206800
2020-05-11,1.9857927560806274,2.0138937950118674,1.5642801870053438,1.6860504996265655,776100
2020-05-12,1.938957929611206,2.1684482428780396,1.9202240538333522,1.938957929611206,1177100
2020-05-13,1.8078206777572632,1.967058732673251,1.6954173120334168,1.967058732673251,374100
2020-05-14,1.8640224933624268,1.9295910609368654,1.694480755163582,1.7609860612255972,402100
2020-05-15,1.826554775238037,1.9670588512868539,1.7797199715590513,1.8452886520445462,671600
2020-05-18,1.9576919078826904,1.9661222194217125,1.8733894624687504,1.910857215986057,525500
2020-05-19,1.8921234607696533,1.9670589726178167,1.8546557048455719,1.9670589726178167,243200
2020-05-20,2.0232608318328857,2.0513616488037734,1.87338958466271,1.87338958466271,493100
2020-05-21,2.1169300079345703,2.191865512288758,2.0185770468069895,2.051361441624656,672200
2020-05-22,2.266801357269287,2.266801357269287,1.9951599166032183,2.107563178951069,886600
