Price,('Close', 'TECO2.BA'),('High', 'TECO2.BA'),('Low', 'TECO2.BA'),('Open', 'TECO2.BA'),('Volume', 'TECO2.BA')
Ticker,TECO2.BA,TECO2.BA,TECO2.BA,TECO2.BA,TECO2.BA
Date,,,,,
2020-04-17,161.14999389648438,169.0,156.5,163.0,53553
2020-04-20,160.5,165.0,157.5,165.0,88245
2020-04-21,167.0,168.0,159.0,162.0,97950
2020-04-22,169.0,169.89999389648438,162.0,164.5,112232
2020-04-23,160.25,171.8000030517578,159.4499969482422,167.0500030517578,121817
2020-04-24,151.9499969482422,160.0,148.39999389648438,160.0,66012
2020-04-27,155.5500030517578,159.6999969482422,152.0,152.0,27258
2020-04-28,169.5,169.89999389648438,155.60000610351562,156.6999969482422,133117
2020-04-29,161.25,174.0,160.3000030517578,173.5,154329
2020-04-30,158.89999389648438,165.0,155.0,164.0,93291
2020-05-04,157.5500030517578,158.6999969482422,153.5,158.6999969482422,78808
2020-05-05,161.1999969482422,165.0,157.5500030517578,158.0,54429
2020-05-06,163.0,166.0,159.39999389648438,163.0,79466
2020-05-07,170.60000610351562,171.35000610351562,159.8000030517578,163.0,135812
2020-05-08,168.75,175.0,167.64999389648438,171.10000610351562,157473
2020-05-11,181.0500030517578,182.89999389648438,166.0,170.0,341951
2020-05-12,181.6999969482422,191.5,180.0,181.8000030517578,172306
2020-05-13,181.39999389648438,190.9499969482422,180.0,184.0,30131
2020-05-14,183.5500030517578,184.9499969482422,177.0,179.0,166195
2020-05-15,189.25,197.6999969482422,184.0,184.0,437672
2020-05-18,193.0500030517578,199.39999389648438,186.8000030517578,192.10000610351562,99697
2020-05-19,185.6999969482422,191.89999389648438,184.0,190.0,187926
2020-05-20,188.3000030517578,190.0,185.6999969482422,185.6999969482422,37119
2020-05-21,192.14999389648438,194.5,189.0,189.75,47826
2020-05-22,187.60000610351562,192.10000610351562,182.5500030517578,192.10000610351562,138721
2020-05-26,189.9499969482422,197.0,189.0,190.0,199659
2020-05-27,188.6999969482422,195.0,172.0,191.0,120093
2020-05-28,178.35000610351562,189.4499969482422,175.3000030517578,189.4499969482422,135087
2020-05-29,184.75,187.4499969482422,169.75,173.6999969482422,163976
2020-06-01,190.6999969482422,191.3000030517578,184.75,186.0,72722
2020-06-02,195.0,195.75,186.0,190.5,46705
2020-06-03,211.0,213.3000030517578,197.5,197.5,107432
2020-06-04,222.0,223.0,205.0,211.89999389648438,121330
2020-06-05,228.0,241.0,222.0,222.0,129476
2020-06-08,259.3500061035156,265.0,228.0,228.0,111659
2020-06-09,244.8000030517578,259.3500061035156,235.0,259.3500061035156,179809
2020-06-10,237.35000610351562,249.0,231.6999969482422,244.0,115904
2020-06-11,228.0,234.64999389648438,220.60000610351562,230.0,173851
2020-06-12,223.1999969482422,234.6999969482422,215.3000030517578,231.0,117552
2020-06-16,217.1999969482422,229.5,212.0,225.0,73003
2020-06-17,206.5,219.0,205.0,216.0,52704
2020-06-18,194.14999389648438,203.0,193.5,200.0500030517578,60145
2020-06-19,206.3000030517578,216.3000030517578,194.10000610351562,194.10000610351562,112154
2020-06-22,196.85000610351562,217.0,193.5,209.0,95095
2020-06-23,199.0,202.85000610351562,197.5,197.5,219738
2020-06-24,204.4499969482422,205.0,195.0,200.0,62851
2020-06-25,206.85000610351562,212.0,205.0,205.0,59973
2020-06-26,201.0,207.5,198.5,206.5,89616
2020-06-29,194.1999969482422,204.0,193.1999969482422,203.0,59642
2020-06-30,189.25,203.0,185.0,194.0,89293
2020-07-01,193.25,195.5,189.0,189.5,26604
2020-07-02,192.6999969482422,198.5,190.10000610351562,196.0,29890
2020-07-03,195.25,197.5,190.0,197.5,6627
2020-07-06,212.5500030517578,214.0,202.0,202.0,136942
2020-07-07,207.4499969482422,215.0,201.0,214.0,100116
2020-07-08,201.35000610351562,210.5,200.10000610351562,207.0,85945
2020-07-13,205.6999969482422,210.0,205.0,205.0,59342
2020-07-14,207.0,209.0,202.25,206.0,39990
2020-07-15,209.9499969482422,211.0,207.10000610351562,207.10000610351562,37258
2020-07-16,210.8000030517578,212.6999969482422,210.0,210.0,41997
2020-07-17,216.89999389648438,219.5,211.10000610351562,211.10000610351562,171754
2020-07-20,222.0,223.6999969482422,216.0,216.0,106660
2020-07-21,227.5500030517578,231.5,223.6999969482422,223.6999969482422,110194
2020-07-22,235.0,237.10000610351562,223.5,231.89999389648438,204307
2020-07-23,235.0,245.1999969482422,232.0,240.0,142705
2020-07-24,233.5500030517578,239.25,231.35000610351562,235.0,98964
2020-07-27,227.6999969482422,240.0,225.64999389648438,234.5,100171
2020-07-28,228.0,231.0,218.5,227.5,58853
2020-07-29,227.85000610351562,236.0,224.0,235.0,37031
2020-07-30,226.9499969482422,228.9499969482422,218.0,226.0,74516
2020-07-31,221.4499969482422,227.0,218.0,227.0,61923
2020-08-03,230.10000610351562,234.3000030517578,216.3000030517578,221.0,152374
2020-08-04,225.64999389648438,244.5,222.0,238.0,306495
2020-08-05,222.10000610351562,230.0,217.0,227.10000610351562,152314
2020-08-06,218.8000030517578,225.0,216.85000610351562,223.0,55999
2020-08-07,228.1999969482422,229.0,216.3000030517578,218.8000030517578,90546
2020-08-10,220.4499969482422,233.0,219.0,229.5,89813
2020-08-11,215.0500030517578,224.0,210.25,224.0,78396
2020-08-12,208.5,216.60000610351562,204.0,216.0,126182
2020-08-13,208.0500030517578,211.10000610351562,206.0,209.0,58026
2020-08-14,211.9499969482422,215.0,203.0,210.0,55078
2020-08-18,204.9499969482422,210.0,201.0,208.4499969482422,72416
2020-08-19,205.4499969482422,209.8000030517578,197.0,203.0,84130
2020-08-20,204.64999389648438,206.10000610351562,199.10000610351562,203.89999389648438,70277
2020-08-21,203.75,209.5,201.0,206.89999389648438,131168
2020-08-24,186.89999389648438,194.4499969482422,175.0,185.0,245103
2020-08-25,188.10000610351562,191.60000610351562,181.0,188.6999969482422,146576
2020-08-26,180.6999969482422,190.0,180.0,188.10000610351562,41767
2020-08-27,172.14999389648438,182.5,170.10000610351562,180.75,133552
2020-08-28,176.14999389648438,177.8000030517578,171.8000030517578,175.0,228078
2020-08-31,174.0,178.10000610351562,171.1999969482422,178.0,45567
2020-09-01,178.89999389648438,181.5,172.0,172.0,122104
2020-09-02,172.39999389648438,181.60000610351562,171.75,181.0,46000
2020-09-03,166.39999389648438,175.35000610351562,165.0,172.39999389648438,61638
2020-09-04,166.14999389648438,173.0,160.0,173.0,40545
2020-09-07,167.75,171.89999389648438,166.5,166.5,26589
2020-09-08,166.5500030517578,169.39999389648438,164.0,167.75,34048
2020-09-09,176.8000030517578,178.0,166.5500030517578,166.5500030517578,67522
2020-09-10,186.25,189.89999389648438,178.1999969482422,178.1999969482422,110150
2020-09-11,178.14999389648438,185.89999389648438,175.8000030517578,185.0500030517578,33402
