Price,('Close', 'PAMP.BA'),('High', 'PAMP.BA'),('Low', 'PAMP.BA'),('Open', 'PAMP.BA'),('Volume', 'PAMP.BA')
Ticker,PAMP.BA,PAMP.BA,PAMP.BA,PAMP.BA,PAMP.BA
Date,,,,,
2020-04-17,41.70000076293945,45.0,41.0,44.0,721440
2020-04-20,42.150001525878906,42.54999923706055,41.099998474121094,41.599998474121094,688567
2020-04-21,42.150001525878906,43.29999923706055,41.75,41.75,562824
2020-04-22,43.650001525878906,44.400001525878906,42.70000076293945,43.54999923706055,500679
2020-04-23,43.70000076293945,44.650001525878906,43.150001525878906,44.0,515356
2020-04-24,42.45000076293945,43.70000076293945,40.0,43.54999923706055,463650
2020-04-27,43.20000076293945,43.29999923706055,41.0,42.0,491092
2020-04-28,46.099998474121094,46.5,43.29999923706055,44.0,1161600
2020-04-29,46.349998474121094,47.5,43.849998474121094,46.650001525878906,1425209
2020-04-30,46.04999923706055,46.95000076293945,44.599998474121094,46.0,584075
2020-05-04,45.0,45.29999923706055,43.0,44.5,1073190
2020-05-05,48.25,48.45000076293945,45.0,45.79999923706055,1531314
2020-05-06,48.70000076293945,49.849998474121094,46.20000076293945,47.0,1056724
2020-05-07,49.599998474121094,50.5,47.54999923706055,48.79999923706055,1666138
2020-05-08,50.400001525878906,52.45000076293945,50.0,50.5,1189687
2020-05-11,53.79999923706055,53.849998474121094,48.0,50.400001525878906,1071816
2020-05-12,53.849998474121094,56.5,53.20000076293945,53.20000076293945,1626359
2020-05-13,52.25,54.0,51.70000076293945,53.5,217194
2020-05-14,54.849998474121094,55.400001525878906,51.5,52.0,911013
2020-05-15,53.70000076293945,58.0,53.0,55.099998474121094,1916405
2020-05-18,55.75,56.70000076293945,53.0,55.849998474121094,1657453
2020-05-19,53.79999923706055,56.0,53.400001525878906,55.70000076293945,835893
2020-05-20,52.849998474121094,55.0,51.54999923706055,54.04999923706055,700008
2020-05-21,56.95000076293945,57.099998474121094,52.79999923706055,52.849998474121094,1268683
2020-05-22,54.29999923706055,57.29999923706055,53.25,56.0,1415675
2020-05-26,53.650001525878906,56.5,53.0,55.0,692346
2020-05-27,49.849998474121094,54.099998474121094,49.0,54.0,3952648
2020-05-28,48.900001525878906,50.599998474121094,48.0,50.5,1071078
2020-05-29,47.599998474121094,50.400001525878906,45.150001525878906,49.099998474121094,1270401
2020-06-01,50.349998474121094,50.849998474121094,48.20000076293945,49.0,633298
2020-06-02,52.150001525878906,52.29999923706055,50.349998474121094,51.0,1762759
2020-06-03,52.650001525878906,53.349998474121094,51.150001525878906,52.5,3330641
2020-06-04,51.25,53.0,50.5,52.650001525878906,1467354
2020-06-05,53.70000076293945,54.5,52.099998474121094,52.900001525878906,2696886
2020-06-08,57.45000076293945,57.70000076293945,54.79999923706055,55.0,2897271
2020-06-09,54.25,55.70000076293945,51.70000076293945,55.5,1951947
2020-06-10,53.45000076293945,54.25,52.0,53.849998474121094,2533577
2020-06-11,49.150001525878906,52.25,48.099998474121094,52.25,2319555
2020-06-12,49.150001525878906,51.20000076293945,48.099998474121094,50.0,1358155
2020-06-16,47.849998474121094,50.29999923706055,47.5,49.150001525878906,1631666
2020-06-17,45.5,48.099998474121094,45.20000076293945,48.099998474121094,870605
