Price,('Close', 'TRAN.BA'),('High', 'TRAN.BA'),('Low', 'TRAN.BA'),('Open', 'TRAN.BA'),('Volume', 'TRAN.BA')
Ticker,TRAN.BA,TRAN.BA,TRAN.BA,TRAN.BA,TRAN.BA
Date,,,,,
2020-04-17,20.100000381469727,21.0,19.899999618530273,21.0,128426
2020-04-20,20.25,20.799999237060547,19.200000762939453,20.600000381469727,125121
2020-04-21,19.75,20.25,19.600000381469727,20.25,134553
2020-04-22,20.25,20.600000381469727,19.799999237060547,19.850000381469727,209552
2020-04-23,20.25,20.5,19.700000762939453,20.5,139662
2020-04-24,19.450000762939453,20.299999237060547,19.200000762939453,20.299999237060547,146227
2020-04-27,20.149999618530273,20.299999237060547,19.049999237060547,19.450000762939453,171204
2020-04-28,21.700000762939453,22.299999237060547,20.149999618530273,20.149999618530273,514961
2020-04-29,21.799999237060547,22.700000762939453,21.299999237060547,22.350000381469727,437005
2020-04-30,23.049999237060547,23.200000762939453,21.5,21.5,405531
2020-05-04,24.75,24.799999237060547,22.399999618530273,23.0,294879
2020-05-05,24.75,25.200000762939453,24.0,24.950000762939453,553309
2020-05-06,27.950000762939453,28.200000762939453,24.049999237060547,24.700000762939453,1005601
2020-05-07,27.700000762939453,28.350000381469727,26.100000381469727,27.950000762939453,1014709
2020-05-08,27.0,28.200000762939453,27.0,27.700000762939453,504715
2020-05-11,27.799999237060547,28.149999618530273,27.0,27.450000762939453,401125
2020-05-12,28.700000762939453,29.0,28.0,28.0,527204
2020-05-13,27.649999618530273,28.700000762939453,26.600000381469727,28.0,246832
2020-05-14,28.899999618530273,29.049999237060547,27.649999618530273,27.649999618530273,328286
2020-05-15,29.450000762939453,29.600000381469727,28.049999237060547,29.0,213942
2020-05-18,29.549999237060547,30.450000762939453,29.0,30.0,280356
2020-05-19,29.450000762939453,29.549999237060547,28.600000381469727,29.549999237060547,326953
2020-05-20,28.399999618530273,29.450000762939453,27.799999237060547,28.649999618530273,712494
2020-05-21,28.350000381469727,29.0,28.0,28.399999618530273,492968
2020-05-22,27.75,28.700000762939453,27.100000381469727,28.5,304282
2020-05-26,27.850000381469727,28.5,27.0,28.0,215706
2020-05-27,27.850000381469727,28.299999237060547,26.850000381469727,28.149999618530273,242120
2020-05-28,26.75,28.0,26.5,27.700000762939453,156826
2020-05-29,25.899999618530273,27.149999618530273,25.0,26.75,142186
2020-06-01,26.450000762939453,26.950000762939453,26.0,26.0,766148
2020-06-02,27.399999618530273,28.0,27.0,27.0,214094
2020-06-03,27.549999237060547,28.700000762939453,27.200000762939453,28.0,306592
2020-06-04,27.450000762939453,27.799999237060547,26.299999237060547,27.25,314547
2020-06-05,27.700000762939453,28.200000762939453,27.5,27.5,367201
2020-06-08,30.0,30.200000762939453,28.299999237060547,28.5,984022
2020-06-09,28.399999618530273,29.850000381469727,27.899999618530273,29.700000762939453,515354
2020-06-10,28.299999237060547,28.899999618530273,27.100000381469727,28.149999618530273,409897
2020-06-11,25.950000762939453,28.399999618530273,24.649999618530273,28.399999618530273,600246
2020-06-12,26.0,27.450000762939453,25.200000762939453,26.25,275372
2020-06-16,26.600000381469727,27.5,26.100000381469727,26.100000381469727,406203
2020-06-17,26.0,27.5,25.899999618530273,27.5,155719
2020-06-18,24.100000381469727,25.0,23.0,25.0,294344
2020-06-19,24.799999237060547,25.5,23.399999618530273,25.0,302796
2020-06-22,24.049999237060547,25.450000762939453,24.0,25.450000762939453,307995
2020-06-23,23.450000762939453,25.0,23.299999237060547,24.299999237060547,502222
2020-06-24,22.799999237060547,23.700000762939453,22.75,23.700000762939453,144520
2020-06-25,23.549999237060547,23.649999618530273,22.950000762939453,23.200000762939453,261365
2020-06-26,23.100000381469727,23.899999618530273,23.0,23.600000381469727,88433
2020-06-29,23.200000762939453,23.75,23.0,23.0,113606
2020-06-30,22.100000381469727,24.0,22.0,23.299999237060547,198970
2020-07-01,22.350000381469727,23.100000381469727,21.700000762939453,22.149999618530273,224811
2020-07-02,22.200000762939453,22.950000762939453,22.0,22.950000762939453,165510
2020-07-03,22.799999237060547,23.0,22.200000762939453,22.25,460273
2020-07-06,25.200000762939453,25.299999237060547,23.700000762939453,23.899999618530273,751545
2020-07-07,25.100000381469727,25.75,24.549999237060547,25.75,640915
2020-07-08,26.75,26.950000762939453,25.0,25.100000381469727,722166
2020-07-13,27.25,27.850000381469727,27.0,27.5,663839
2020-07-14,27.700000762939453,27.799999237060547,26.200000762939453,27.299999237060547,348013
2020-07-15,27.450000762939453,28.0,27.049999237060547,27.799999237060547,388579
2020-07-16,27.100000381469727,27.450000762939453,26.0,27.450000762939453,217344
2020-07-17,27.25,27.600000381469727,26.299999237060547,27.5,428373
2020-07-20,26.75,27.25,26.600000381469727,27.25,328478
2020-07-21,27.149999618530273,27.299999237060547,26.600000381469727,26.75,318852
