Price,('Close', 'HAVA.BA'),('High', 'HAVA.BA'),('Low', 'HAVA.BA'),('Open', 'HAVA.BA'),('Volume', 'HAVA.BA')
Ticker,HAVA.BA,HAVA.BA,HAVA.BA,HAVA.BA,HAVA.BA
Date,,,,,
2020-04-17,102.4039077758789,102.4039077758789,99.73250148607337,99.73250148607337,720
2020-04-20,102.4039077758789,102.4039077758789,102.4039077758789,102.4039077758789,221
2020-04-21,100.62297821044922,100.62297821044922,97.95157170928685,97.95157170928685,2650
2020-04-22,97.9515609741211,97.9515609741211,97.9515609741211,97.9515609741211,482
2020-04-23,100.62297821044922,100.62297821044922,100.62297821044922,100.62297821044922,992
2020-04-24,100.177734375,100.177734375,99.7325,99.7325,609
2020-04-27,97.9515609741211,97.9515609741211,96.17062350186436,97.9515609741211,2462
2020-04-28,102.4039077758789,102.4039077758789,97.95156395953634,97.95156395953634,2412
2020-04-29,97.9515609741211,102.40390465476297,97.9515609741211,102.40390465476297,184
2020-04-30,98.39679718017578,99.73250030931844,97.95156280379489,99.73250030931844,1184
2020-05-04,97.9515609741211,98.39679534218529,97.9515609741211,98.39679534218529,354
2020-05-05,93.49921417236328,93.49921417236328,89.04687064034599,89.04687064034599,1073
2020-05-06,93.49921417236328,97.95155770438059,93.49921417236328,97.95155770438059,27342
2020-05-07,89.046875,97.95156250000001,89.046875,93.49921875,49576
2020-05-08,98.842041015625,98.842041015625,95.28016566371059,95.28016566371059,654
2020-05-11,102.4039077758789,102.4039077758789,98.84203272280486,98.84203272280486,1705
2020-05-12,106.85625457763672,106.85625457763672,106.85625457763672,106.85625457763672,436
2020-05-13,106.85625457763672,106.85625457763672,105.96578578948974,105.96578578948974,5
2020-05-14,109.52766418457031,109.52766418457031,105.96578892653551,105.96578892653551,2089
2020-05-15,111.30859375,111.30859375,111.30859375,111.30859375,277
2020-05-18,113.9800033569336,113.9800033569336,113.9800033569336,113.9800033569336,20900
2020-05-19,113.08953094482422,113.97999969242126,113.08953094482422,113.97999969242126,858
2020-05-20,115.76094055175781,115.76094055175781,113.08953423133264,113.08953423133264,397
2020-05-21,120.21328735351562,120.21328735351562,115.7609433774595,115.7609433774595,221
2020-05-22,116.65140533447266,116.65140533447266,116.65140533447266,116.65140533447266,22
2020-05-26,118.4323501586914,118.4323501586914,118.4323501586914,118.4323501586914,160
2020-05-27,120.21328735351562,120.21328735351562,118.43234976309319,118.43234976309319,2533
2020-05-28,120.21328735351562,120.21328735351562,120.21328735351562,120.21328735351562,165
2020-05-29,115.76094055175781,120.21328441913312,115.76094055175781,120.21328441913312,950
2020-06-01,115.76094055175781,117.54187809870794,106.85625281700722,106.85625281700722,640
2020-06-02,116.65140533447266,119.76804593501201,116.65140533447266,119.76804593501201,93
2020-06-03,118.4323501586914,118.4323501586914,116.65141256232012,118.4323501586914,3724
2020-06-04,118.4323501586914,118.4323501586914,117.9871157595986,117.9871157595986,1599
2020-06-05,115.76094055175781,120.21328441913312,111.30859668438252,120.21328441913312,5567
2020-06-08,124.66561126708984,124.66561126708984,118.43233070373535,118.43233070373535,4211
2020-06-09,124.66561126708984,124.66561126708984,120.21326800755092,120.21326800755092,6720
2020-06-10,125.55609130859375,125.55609130859375,124.6656225759087,124.6656225759087,1193
2020-06-11,126.4465560913086,126.4465560913086,125.55608738644023,126.4465560913086,1136
2020-06-12,126.4465560913086,126.4465560913086,126.4465560913086,126.4465560913086,199
2020-06-16,133.5703125,133.5703125,129.11796875000002,129.11796875000002,346
2020-06-17,129.1179656982422,129.1179656982422,125.5560907824286,125.5560907824286,257
2020-06-18,127.3370361328125,127.3370361328125,127.3370361328125,127.3370361328125,648
2020-06-19,125.55609130859375,125.55609130859375,124.6656225759087,124.6656225759087,2782
2020-06-22,125.55609130859375,125.55609130859375,125.55609130859375,125.55609130859375,101
2020-06-23,125.55609130859375,125.55609130859375,124.6656225759087,125.55609130859375,285
2020-06-24,126.4465560913086,127.33702479617696,126.4465560913086,127.33702479617696,197
2020-06-25,132.67987060546875,132.67987060546875,129.11799488451658,129.11799488451658,324
2020-06-26,130.00845336914062,130.00845336914062,129.11798451044788,129.11798451044788,2065
2020-06-29,130.00845336914062,130.00845336914062,130.00845336914062,130.00845336914062,120
2020-06-30,129.1179656982422,130.00843442719557,129.1179656982422,130.00843442719557,57
2020-07-01,127.78227233886719,127.78227233886719,127.33703794047392,127.78227233886719,199
2020-07-02,127.78227233886719,127.78227233886719,125.55610034690086,125.55610034690086,107
2020-07-03,133.5703125,133.5703125,129.11796875000002,129.11796875000002,61
2020-07-06,133.5703125,133.5703125,133.5703125,133.5703125,483
2020-07-07,133.5703125,133.5703125,133.5703125,133.5703125,127
2020-07-08,129.340576171875,129.340576171875,129.340576171875,129.340576171875,399
2020-07-13,126.4465560913086,126.4465560913086,124.66561868157186,124.66561868157186,3436
