Price,('Close', 'SUPV.BA'),('High', 'SUPV.BA'),('Low', 'SUPV.BA'),('Open', 'SUPV.BA'),('Volume', 'SUPV.BA')
Ticker,SUPV.BA,SUPV.BA,SUPV.BA,SUPV.BA,SUPV.BA
Date,,,,,
2020-04-17,29.276845932006836,30.999013339771942,28.846304080065558,30.353200561860028,320751
2020-04-20,31.300395965576172,31.601777277508607,28.631037401455398,30.137934106795157,475167
2020-04-21,30.310148239135742,32.29064017988031,29.965713429974173,32.29064017988031,224079
2020-04-22,29.664335250854492,30.955960850008328,29.449064317662188,30.439308639482537,204003
2020-04-23,29.01852035522461,30.611523831873043,28.50186818201741,29.70738663472735,147017
2020-04-24,27.985219955444336,29.018521041523154,26.822756644202364,29.018521041523154,289742
2020-04-27,28.329654693603516,28.760196538279715,26.95191881977551,28.760196538279715,658828
2020-04-28,31.860097885131836,32.07536881678813,29.5782246956656,29.5782246956656,1207702
2020-04-29,33.19477462768555,34.44334659884851,31.86009560393487,33.410045543928355,727002
2020-04-30,31.946205139160156,33.7975364766303,31.429556213936458,33.23783073699316,250483
2020-05-04,31.817047119140625,31.860100652256435,29.92266209907868,31.77399358602481,324610
2020-05-05,32.03231430053711,33.58226430375573,31.3434479974148,32.63507354755925,431443
2020-05-06,33.79753494262695,34.22807678902984,31.257337391895174,31.687879238298063,491460
2020-05-07,36.5960578918457,38.74876717960133,33.237830089037445,33.75448228896301,1208435
2020-05-08,37.88768005371094,38.96403460069136,36.682161647183506,38.40432892235218,1364720
2020-05-11,42.66669845581055,43.054186793910496,36.16551690688482,36.94049358308472,975722
2020-05-12,42.53753662109375,46.36935650576408,42.106994765757875,42.279208880073284,1470579
2020-05-13,40.126502990722656,42.106998320272595,38.74877025125431,40.90147970965732,203872
2020-05-14,41.676448822021484,42.36531506602735,39.0931979434195,39.60984680523055,484932
2020-05-15,42.23615646362305,44.431919326698335,40.68620640055659,43.05418666725566,910106
2020-05-18,43.78610610961914,44.173594442888295,42.3653199339972,43.570835178333354,372117
2020-05-19,42.19309997558594,43.743049929979286,42.10699292219824,43.05418364855708,119064
2020-05-20,45.63743591308594,45.98187070558472,42.19310112719266,43.18334869204643,464129
2020-05-21,46.670738220214844,47.66098252606186,44.34581152228589,46.154086018023015,856489
2020-05-22,48.65122985839844,49.25398911536873,45.03467760135037,46.15408577299594,1016685
2020-05-26,48.26374435424805,51.23448399940353,47.488770936886105,49.08177458766389,869634
2020-05-27,50.43681335449219,52.644009494876364,49.82631046482528,52.59704856095343,541445
2020-05-28,47.19646072387695,50.53073733207041,46.022419412337726,50.43681546030317,574899
2020-05-29,44.378761291503906,48.7461963755697,44.1439530307023,45.17710794507349,493290
2020-06-01,48.41746139526367,49.027964290547494,46.49203442359183,46.961650932921046,767045
2020-06-02,52.2683219909668,53.630207081686834,48.98100623261391,48.98100623261391,978051
2020-06-03,57.52802276611328,58.13852566535851,52.59704938616071,52.59704938616071,1211582
2020-06-04,56.166133880615234,57.76283073122708,54.945131671167225,56.870558645630204,995188
2020-06-05,58.2794075012207,58.9838322580837,56.40094148291938,58.23244656734109,923360
2020-06-08,63.492149353027344,64.80707698589701,59.171678987123364,59.171678987123364,1317136
2020-06-09,59.359527587890625,61.989379327636684,58.23244724717385,60.58052979746312,1026982
2020-06-10,59.21864318847656,62.08330327935961,55.88436657178023,59.17168225247318,901555
2020-06-11,53.254512786865234,58.702063569540684,52.03351058119671,58.702063569540684,1096975
2020-06-12,55.36779022216797,56.63575343417823,51.37604967257073,55.41475115911468,756710
2020-06-16,53.254512786865234,56.9175194038708,52.503127089753036,56.35398102675906,594265
2020-06-17,49.685428619384766,53.53628260141866,49.450620362361,53.53628260141866,541931
2020-06-18,44.61357116699219,49.30973655299137,43.90914635909231,49.30973655299137,1833267
2020-06-19,48.51138687133789,49.168847118418775,45.64672329667275,46.82076457058809,1703518
2020-06-22,47.384307861328125,49.77935141073854,45.08318618331038,49.77935141073854,447051
