Price,('Close', 'CAPX.BA'),('High', 'CAPX.BA'),('Low', 'CAPX.BA'),('Open', 'CAPX.BA'),('Volume', 'CAPX.BA')
Ticker,CAPX.BA,CAPX.BA,CAPX.BA,CAPX.BA,CAPX.BA
Date,,,,,
2020-04-17,48.93323516845703,48.93323516845703,45.700949444782644,45.79073382736346,2848
2020-04-20,50.2800178527832,50.54937440626937,47.58644546781267,50.54937440626937,7942
2020-04-21,47.49665832519531,50.28001492419137,46.4192287489518,50.28001492419137,809
2020-04-22,47.22730255126953,47.40687473408002,46.68858942789257,47.40687473408002,4049
2020-04-23,46.68859100341797,47.58644852271447,46.68859100341797,47.22730414497402,1103
2020-04-24,49.1128044128418,49.83108970556884,47.58644602513781,48.03537476122402,4256
2020-04-27,51.17787551879883,51.89616080598161,48.93323185569361,48.93323185569361,3123
2020-04-28,52.97359085083008,54.76930579492601,50.36980281186919,50.36980281186919,2704
2020-04-29,55.21823501586914,55.21823501586914,53.7816644179984,53.8714487959699,1939
2020-04-30,56.56502151489258,62.850023905436196,56.56502151489258,56.56502151489258,3776
2020-05-04,54.76930618286133,57.46287861808402,54.76930618286133,57.46287861808402,2279
2020-05-05,57.01395034790039,57.01395034790039,54.32037789051927,56.56502160500354,328
2020-05-06,60.60538101196289,62.580664764161014,53.961234168036995,54.76930728488498,5312
2020-05-07,65.99252319335938,65.99252319335938,60.60537844288106,60.60537844288106,9005
2020-05-08,64.10702514648438,66.44145321370073,62.85002331025745,66.44145321370073,24646
2020-05-11,62.85002517700195,63.92745143999262,62.85002517700195,63.74788267953055,3814
2020-05-12,63.38873291015625,64.64573467666874,62.85001982453905,62.85001982453905,12736
2020-05-13,63.47852325439453,63.47852325439453,59.258595694949385,59.258595694949385,238
2020-05-14,65.54359436035156,66.44145181734268,63.747879446369325,63.747879446369325,14979
2020-05-15,66.890380859375,67.33930958997483,64.73552158247405,65.99252339817534,2280
2020-05-18,70.03288269042969,70.03288269042969,64.19680913289388,68.23716774964944,4257
2020-05-19,69.85330963134766,70.03287837431535,67.33930612914936,69.13502095926002,9005
2020-05-20,67.42909240722656,72.72645267586034,67.33930803320402,72.72645267586034,778
2020-05-21,64.82530975341797,66.44145601822939,63.74788347694982,66.44145601822939,4821
2020-05-22,64.64573669433594,66.44145160251193,64.64573669433594,66.44145160251193,1201
2020-05-26,64.64573669433594,70.48181014590793,64.64573669433594,66.44145160251193,4575
2020-05-27,64.19680786132812,64.64573658763112,62.04194860505201,63.74787913502514,1419
2020-05-28,61.05430603027344,64.55595142261967,61.05430603027344,61.95216347189511,3768
