Price,('Close', 'AUSO.BA'),('High', 'AUSO.BA'),('Low', 'AUSO.BA'),('Open', 'AUSO.BA'),('Volume', 'AUSO.BA')
Ticker,AUSO.BA,AUSO.BA,AUSO.BA,AUSO.BA,AUSO.BA
Date,,,,,
2020-04-17,47.8812255859375,50.754099121093745,45.965976562499996,48.4557988317497,18187
2020-04-20,47.833343505859375,49.796472959219095,46.44478727927166,49.796472959219095,78352
2020-04-21,45.96597671508789,49.03037589336994,45.96597671508789,47.689700111294165,22629
2020-04-22,46.20538330078125,47.115127329540876,45.487164907504855,46.061738160906906,14360
2020-04-23,45.77444839477539,47.402410705157976,45.39140080312781,47.402410705157976,12706
2020-04-24,44.529537200927734,45.96597388482863,43.66767372936824,45.96597388482863,21429
2020-04-27,45.822330474853516,45.822330474853516,43.09310213423749,45.151996252981185,19884
2020-04-28,49.604949951171875,52.66934917949764,45.774451829026596,45.774451829026596,98409
2020-04-29,50.6583366394043,51.61596112292387,49.50918652857131,49.796473143017685,32160
2020-04-30,50.37104797363281,51.61596276423264,49.03037584590259,51.52019812100702,17125
2020-05-04,49.79647445678711,50.27528671117929,47.40241318482619,50.27528671117929,18365
2020-05-05,49.604949951171875,49.79647558788868,47.881226526816036,49.70071459605411,12735
2020-05-06,48.55156326293945,49.7007134025982,47.4024131232807,49.604948760015546,141288
2020-05-07,50.46681213378906,50.56257312305045,48.36003749261038,48.83884974501246,51078
2020-05-08,49.03037643432617,53.4354477902379,48.838850798623994,50.75409984955043,86044
2020-05-11,51.615962982177734,51.615962982177734,48.360038159710825,49.03037605293021,38877
2020-05-12,56.97865676879883,57.84052026517613,51.61596112236617,52.477820965695976,420954
2020-05-13,57.17018127441406,59.37271681266137,54.10578225669948,57.93628011558085,23198
2020-05-14,58.1278076171875,58.79814549475919,55.54222074829528,57.17018312152724,48578
2020-05-15,56.59560775756836,58.89390807031178,54.10578546296936,58.41509580957754,62457
2020-05-18,58.89390563964844,59.75576913461839,58.03204214467849,58.41509339867569,87034
2020-05-19,58.319332122802734,59.85152982510647,56.59560514140169,59.85152982510647,41418
2020-05-20,58.1278076171875,59.372718730936334,57.648995369357365,59.372718730936334,33423
2020-05-21,58.1278076171875,59.6600053490249,57.26594410987424,58.1278076171875,42878
2020-05-22,57.84052276611328,58.89390828230123,57.457471494928036,58.89390828230123,24302
2020-05-26,57.36170959472656,59.37271960396438,56.88289733985588,58.03204382910743,39248
