Price,('Close', 'BOLT.BA'),('High', 'BOLT.BA'),('Low', 'BOLT.BA'),('Open', 'BOLT.BA'),('Volume', 'BOLT.BA')
Ticker,BOLT.BA,BOLT.BA,BOLT.BA,BOLT.BA,BOLT.BA
Date,,,,,
2020-04-17,2.25,2.3399999141693115,2.2100000381469727,2.240000009536743,603937
2020-04-20,2.2899999618530273,2.3299999237060547,2.200000047683716,2.240000009536743,1468108
2020-04-21,2.2899999618530273,2.3299999237060547,2.2100000381469727,2.3299999237060547,1030257
2020-04-22,2.299999952316284,2.319999933242798,2.25,2.299999952316284,1450983
2020-04-23,2.319999933242798,2.3399999141693115,2.25,2.299999952316284,1844471
2020-04-24,2.4000000953674316,2.4000000953674316,2.25,2.3399999141693115,2114501
2020-04-27,2.8299999237060547,2.9000000953674316,2.4200000762939453,2.450000047683716,6152162
2020-04-28,2.890000104904175,3.1500000953674316,2.809999942779541,2.950000047683716,4832362
2020-04-29,2.8399999141693115,2.940000057220459,2.5,2.8399999141693115,2341780
2020-04-30,2.819999933242798,2.9000000953674316,2.75,2.819999933242798,1428477
2020-05-04,2.680000066757202,2.799999952316284,2.549999952316284,2.799999952316284,1199943
2020-05-05,2.7300000190734863,2.740000009536743,2.630000114440918,2.6700000762939453,956397
2020-05-06,2.9700000286102295,2.9700000286102295,2.690000057220459,2.75,2239767
2020-05-07,2.990000009536743,3.1500000953674316,2.9600000381469727,3.0299999713897705,2147730
2020-05-08,2.9600000381469727,3.0799999237060547,2.9000000953674316,3.0,1495836
2020-05-11,3.0199999809265137,3.049999952316284,2.8499999046325684,2.9600000381469727,2152181
2020-05-12,3.0199999809265137,3.109999895095825,3.009999990463257,3.049999952316284,2180782
2020-05-13,2.950000047683716,3.109999895095825,2.8499999046325684,3.049999952316284,641469
2020-05-14,2.950000047683716,3.0299999713897705,2.9100000858306885,2.950000047683716,1467940
2020-05-15,2.9700000286102295,3.0,2.9000000953674316,2.990000009536743,1204388
2020-05-18,3.2899999618530273,3.2899999618530273,3.0,3.0,5127580
2020-05-19,3.190000057220459,3.4100000858306885,3.049999952316284,3.3499999046325684,2689182
2020-05-20,3.2200000286102295,3.2899999618530273,3.109999895095825,3.2899999618530273,957317
2020-05-21,3.2300000190734863,3.240000009536743,3.140000104904175,3.2300000190734863,1041683
2020-05-22,3.2300000190734863,3.25,3.049999952316284,3.200000047683716,1012376
2020-05-26,3.190000057220459,3.2899999618530273,3.1600000858306885,3.240000009536743,845232
2020-05-27,3.1500000953674316,3.2200000286102295,3.049999952316284,3.200000047683716,744340
2020-05-28,2.9700000286102295,3.200000047683716,2.8399999141693115,3.0999999046325684,1296656
2020-05-29,2.9000000953674316,2.9700000286102295,2.819999933242798,2.9700000286102295,1296087
2020-06-01,3.069999933242798,3.0999999046325684,2.859999895095825,2.890000104904175,1330161
2020-06-02,3.119999885559082,3.25,3.0899999141693115,3.119999885559082,925769
2020-06-03,3.1500000953674316,3.2100000381469727,3.0999999046325684,3.1700000762939453,981133
2020-06-04,3.1500000953674316,3.200000047683716,3.069999933242798,3.190000057220459,1085408
2020-06-05,3.1700000762939453,3.200000047683716,3.119999885559082,3.1600000858306885,1380870
2020-06-08,3.240000009536743,3.259999990463257,3.1500000953674316,3.1600000858306885,2248136
2020-06-09,3.200000047683716,3.2699999809265137,3.109999895095825,3.2699999809265137,1270254
2020-06-10,3.2200000286102295,3.240000009536743,3.119999885559082,3.200000047683716,783749
2020-06-11,2.890000104904175,3.200000047683716,2.75,3.200000047683716,1622746
2020-06-12,2.950000047683716,3.049999952316284,2.8499999046325684,2.9100000858306885,1184956
2020-06-16,2.9700000286102295,3.049999952316284,2.869999885559082,2.950000047683716,583699
2020-06-17,2.869999885559082,3.0,2.8499999046325684,2.9700000286102295,958170
2020-06-18,2.6500000953674316,2.8499999046325684,2.5999999046325684,2.8499999046325684,1362494
2020-06-19,2.799999952316284,2.8499999046325684,2.75,2.759999990463257,493043
2020-06-22,2.9000000953674316,2.940000057220459,2.7799999713897705,2.8399999141693115,906284
2020-06-23,2.930000066757202,3.059999942779541,2.9100000858306885,2.940000057220459,824323
2020-06-24,2.859999895095825,2.9600000381469727,2.7899999618530273,2.9600000381469727,793208
2020-06-25,2.8499999046325684,2.9800000190734863,2.7899999618530273,2.799999952316284,239914
2020-06-26,2.809999942779541,2.9000000953674316,2.740000009536743,2.9000000953674316,372582
2020-06-29,2.799999952316284,2.940000057220459,2.75,2.8499999046325684,304210
2020-06-30,2.700000047683716,2.799999952316284,2.490000009536743,2.799999952316284,643409
2020-07-01,2.869999885559082,2.890000104904175,2.700000047683716,2.75,596185
2020-07-02,2.9100000858306885,2.940000057220459,2.869999885559082,2.9100000858306885,487496
2020-07-03,2.950000047683716,2.9600000381469727,2.8399999141693115,2.9000000953674316,353144
2020-07-06,3.119999885559082,3.200000047683716,3.009999990463257,3.049999952316284,1057432
2020-07-07,3.049999952316284,3.1500000953674316,2.990000009536743,3.1500000953674316,581622
2020-07-08,3.0899999141693115,3.140000104904175,3.0,3.140000104904175,522929
2020-07-13,3.0199999809265137,3.0999999046325684,2.990000009536743,3.0899999141693115,1159565
2020-07-14,3.0199999809265137,3.049999952316284,2.9700000286102295,3.0199999809265137,369438
2020-07-15,3.0299999713897705,3.0799999237060547,2.9800000190734863,3.059999942779541,481337
2020-07-16,3.049999952316284,3.059999942779541,3.0,3.0299999713897705,387291
2020-07-17,3.0299999713897705,3.069999933242798,3.0,3.059999942779541,649128
2020-07-20,3.0199999809265137,3.0799999237060547,3.0,3.0,408276
