Price,('Close', 'FIPL.BA'),('High', 'FIPL.BA'),('Low', 'FIPL.BA'),('Open', 'FIPL.BA'),('Volume', 'FIPL.BA')
Ticker,FIPL.BA,FIPL.BA,FIPL.BA,FIPL.BA,FIPL.BA
Date,,,,,
2020-04-17,3.358961582183838,3.358961582183838,3.349082293111449,3.349082293111449,11186
2020-04-20,3.3095648288726807,3.408357952975953,3.3095648288726807,3.408357952975953,8693
2020-04-21,3.3688406944274902,3.3688406944274902,3.3095647275636915,3.3095647275636915,12405
2020-04-22,3.388599395751953,3.4577544181637974,3.388599395751953,3.4577544181637974,11322
2020-04-23,3.388599395751953,3.4182372624998867,3.388599395751953,3.4182372624998867,42687
2020-04-24,3.408357858657837,3.408357858657837,3.408357858657837,3.408357858657837,300
2020-04-27,3.507150888442993,3.507150888442993,3.4577544435011425,3.4577544435011425,3937
2020-04-28,3.7047367095947266,3.7047367095947266,3.536788570053371,3.536788570053371,32493
2020-04-29,3.7936503887176514,3.7936503887176514,3.754133233971763,3.754133233971763,40902
2020-04-30,3.803529739379883,3.8529264191579484,3.803529739379883,3.8529264191579484,41892
2020-05-04,3.803529739379883,3.803529739379883,3.71461613975285,3.71461613975285,34200
2020-05-05,3.803529739379883,3.803529739379883,3.7541332951426427,3.7541332951426427,39309
2020-05-06,3.803529739379883,3.803529739379883,3.803529739379883,3.803529739379883,36142
2020-05-07,3.85292649269104,3.85292649269104,3.85292649269104,3.85292649269104,4500
2020-05-08,3.902322769165039,3.902322769165039,3.902322769165039,3.902322769165039,2100
2020-05-11,4.099908828735352,4.099908828735352,3.9023228185178365,3.9023228185178365,50785
2020-05-12,4.159184455871582,4.248098287766554,4.099908724968812,4.099908724968812,35744
2020-05-13,4.198701858520508,4.248098539406355,4.099908967830475,4.099908967830475,5450
2020-05-14,4.099908828735352,4.099908828735352,4.099908828735352,4.099908828735352,2000
2020-05-15,4.248098373413086,4.248098373413086,4.149305015501715,4.149305015501715,12567
2020-05-18,4.346891403198242,4.346891403198242,4.346891403198242,4.346891403198242,38702
2020-05-19,4.445684432983398,4.445684432983398,4.396287750850913,4.396287750850913,15615
2020-05-20,4.534597873687744,4.544476926596628,4.534597873687744,4.534597873687744,9002
2020-05-21,4.643270015716553,4.643270015716553,4.445684238015205,4.445684238015205,32085
2020-05-22,4.643270015716553,4.643270015716553,4.643270015716553,4.643270015716553,9049
2020-05-26,4.771700859069824,4.939649000458474,4.771700859069824,4.939649000458474,50091
2020-05-27,4.791459560394287,4.801339084770409,4.791459560394287,4.801339084770409,34876
2020-05-28,4.742063522338867,4.929769781420787,4.742063522338867,4.929769781420787,6801
2020-05-29,4.593873977661133,4.742063551988589,4.593873977661133,4.742063551988589,21501
2020-06-01,4.643270015716553,4.742063375648879,4.643270015716553,4.742063375648879,23575
2020-06-02,4.830976486206055,4.91989031704007,4.830976486206055,4.91989031704007,14484
2020-06-03,4.692666530609131,4.840856094213115,4.692666530609131,4.840856094213115,6262
2020-06-04,4.830976486206055,4.830976486206055,4.742063126453668,4.742063126453668,23120
2020-06-05,4.702546119689941,4.821097583779189,4.643269916563675,4.821097583779189,16103
2020-06-08,4.742063522338867,4.791459732751389,4.742063522338867,4.791459732751389,7623
2020-06-09,4.722304821014404,4.929769653076411,4.722304821014404,4.929769653076411,6788
2020-06-10,4.722304821014404,4.742063398881341,4.722304821014404,4.742063398881341,10805
2020-06-11,4.643270015716553,4.722304797878745,4.643270015716553,4.722304797878745,2006
2020-06-12,4.643270015716553,4.643270015716553,4.445684238015205,4.445684238015205,1363
2020-06-16,4.495080947875977,4.663028624498234,4.495080947875977,4.663028624498234,5660
2020-06-17,4.475322246551514,4.475322246551514,4.475322246551514,4.475322246551514,298
2020-06-18,4.129546642303467,4.129546642303467,4.0505123289321725,4.0505123289321725,5245
2020-06-19,4.248098373413086,4.248098373413086,4.12954643813577,4.12954643813577,8500
2020-06-22,4.060391902923584,4.060391902923584,4.060391902923584,4.060391902923584,10000
2020-06-23,4.1493048667907715,4.198701543976082,4.1493048667907715,4.198701543976082,10717
2020-06-24,4.1493048667907715,4.16906344344857,4.1493048667907715,4.16906344344857,8257
2020-06-25,4.248098373413086,4.248098373413086,4.050512128671987,4.050512128671987,14112
2020-06-26,4.38640832901001,4.396287381958552,4.38640832901001,4.396287381958552,2011
2020-06-29,4.248098373413086,4.386408414974705,4.248098373413086,4.386408414974705,710
2020-06-30,4.188822269439697,4.198701793897474,4.188822269439697,4.198701793897474,4123
2020-07-01,4.1493048667907715,4.188822020106369,4.1493048667907715,4.188822020106369,21310
