Price,('Close', 'METR.BA'),('High', 'METR.BA'),('Low', 'METR.BA'),('Open', 'METR.BA'),('Volume', 'METR.BA')
Ticker,METR.BA,METR.BA,METR.BA,METR.BA,METR.BA
Date,,,,,
2020-04-17,14.800000190734863,15.199999809265137,14.199999809265137,15.149999618530273,12341
2020-04-20,14.800000190734863,15.199999809265137,14.449999809265137,15.199999809265137,11914
2020-04-21,14.649999618530273,15.0,14.300000190734863,15.0,17893
2020-04-22,14.550000190734863,14.800000190734863,14.350000381469727,14.800000190734863,8653
2020-04-23,14.399999618530273,14.699999809265137,13.800000190734863,14.699999809265137,37362
2020-04-24,14.25,14.699999809265137,13.5,14.699999809265137,19012
2020-04-27,14.399999618530273,14.800000190734863,14.0,14.800000190734863,11176
2020-04-28,15.100000381469727,15.199999809265137,14.0,14.600000381469727,140909
2020-04-29,15.649999618530273,16.299999237060547,14.550000190734863,15.600000381469727,67758
2020-04-30,15.399999618530273,15.899999618530273,15.350000381469727,15.800000190734863,9259
2020-05-04,15.0,15.0,14.300000190734863,15.0,41805
2020-05-05,15.0,15.800000190734863,14.899999618530273,15.399999618530273,13900
2020-05-06,16.899999618530273,17.0,14.600000381469727,15.300000190734863,151317
2020-05-07,17.299999237060547,18.0,16.899999618530273,17.200000762939453,126171
2020-05-08,17.649999618530273,17.950000762939453,17.5,17.700000762939453,117838
2020-05-11,17.850000381469727,17.899999618530273,16.5,17.600000381469727,94273
2020-05-12,18.149999618530273,19.100000381469727,18.049999237060547,18.100000381469727,67101
2020-05-13,17.75,18.5,17.100000381469727,18.5,6210
2020-05-14,17.799999237060547,18.0,17.5,17.5,18718
2020-05-15,17.850000381469727,18.049999237060547,17.399999618530273,17.799999237060547,75803
2020-05-18,18.25,18.5,17.899999618530273,18.0,80266
2020-05-19,17.950000762939453,18.5,17.5,18.5,53105
2020-05-20,17.799999237060547,18.350000381469727,17.149999618530273,18.350000381469727,12954
2020-05-21,17.75,18.0,17.25,17.950000762939453,9812
2020-05-22,17.5,17.950000762939453,16.5,17.899999618530273,15350
2020-05-26,17.0,18.100000381469727,16.899999618530273,17.299999237060547,37837
2020-05-27,16.899999618530273,17.700000762939453,16.600000381469727,17.700000762939453,62375
2020-05-28,16.75,16.899999618530273,16.600000381469727,16.899999618530273,174315
2020-05-29,16.549999237060547,16.799999237060547,16.0,16.799999237060547,50166
2020-06-01,17.0,17.0,16.450000762939453,16.450000762939453,77682
2020-06-02,17.799999237060547,18.0,17.0,17.350000381469727,244822
2020-06-03,18.799999237060547,18.850000381469727,17.799999237060547,17.799999237060547,122741
2020-06-04,18.950000762939453,19.5,18.700000762939453,18.850000381469727,62228
2020-06-05,20.0,20.299999237060547,19.299999237060547,19.399999618530273,145043
2020-06-08,20.350000381469727,20.700000762939453,20.299999237060547,20.399999618530273,130227
2020-06-09,19.600000381469727,20.5,19.399999618530273,20.0,83174
2020-06-10,19.5,19.5,19.049999237060547,19.5,85530
2020-06-11,17.600000381469727,19.950000762939453,16.850000381469727,19.5,90596
2020-06-12,18.700000762939453,18.899999618530273,17.700000762939453,18.0,58019
2020-06-16,19.450000762939453,19.899999618530273,19.0,19.0,60799
2020-06-17,19.549999237060547,20.0,19.299999237060547,20.0,112606
2020-06-18,18.200000762939453,19.299999237060547,18.200000762939453,19.299999237060547,28614
2020-06-19,18.700000762939453,19.0,17.799999237060547,18.0,14881
2020-06-22,18.0,18.899999618530273,17.850000381469727,18.899999618530273,20688
2020-06-23,18.850000381469727,19.0,17.5,18.0,47531
2020-06-24,18.950000762939453,19.100000381469727,18.5,19.100000381469727,6396
2020-06-25,19.350000381469727,19.399999618530273,18.299999237060547,19.100000381469727,18922
2020-06-26,19.0,19.899999618530273,18.600000381469727,19.399999618530273,11723
2020-06-29,19.100000381469727,19.899999618530273,18.649999618530273,19.0,4120
2020-06-30,18.299999237060547,19.799999237060547,17.600000381469727,19.799999237060547,13735
2020-07-01,17.799999237060547,18.5,17.700000762939453,18.450000762939453,25740
2020-07-02,18.0,18.399999618530273,17.549999237060547,18.0,11467
2020-07-03,17.899999618530273,18.899999618530273,17.600000381469727,18.700000762939453,5758
2020-07-06,18.549999237060547,18.850000381469727,18.0,18.149999618530273,65132
2020-07-07,18.700000762939453,18.950000762939453,18.100000381469727,18.549999237060547,38281
2020-07-08,19.0,19.149999618530273,18.549999237060547,18.899999618530273,10507
2020-07-13,18.799999237060547,19.350000381469727,18.049999237060547,19.049999237060547,64413
2020-07-14,18.799999237060547,18.799999237060547,18.399999618530273,18.799999237060547,8185
2020-07-15,18.950000762939453,19.0,18.5,18.700000762939453,67088
2020-07-16,19.100000381469727,19.450000762939453,18.899999618530273,18.950000762939453,28522
2020-07-17,19.0,19.299999237060547,18.649999618530273,19.299999237060547,17412
2020-07-20,18.950000762939453,19.399999618530273,18.549999237060547,19.0,31225
2020-07-21,18.899999618530273,19.200000762939453,18.5,19.200000762939453,15825
2020-07-22,19.299999237060547,19.399999618530273,18.5,18.5,154365
2020-07-23,19.200000762939453,19.600000381469727,19.0,19.399999618530273,94580
2020-07-24,19.049999237060547,19.450000762939453,19.049999237060547,19.450000762939453,20600
2020-07-27,20.200000762939453,20.799999237060547,18.600000381469727,18.649999618530273,178808
2020-07-28,20.399999618530273,20.75,20.049999237060547,20.149999618530273,88739
2020-07-29,19.899999618530273,21.0,19.0,20.399999618530273,81148
2020-07-30,19.299999237060547,20.200000762939453,19.049999237060547,20.200000762939453,173575
2020-07-31,19.799999237060547,20.100000381469727,19.299999237060547,19.5,134205
2020-08-03,20.200000762939453,20.200000762939453,19.5,20.100000381469727,93397
2020-08-04,20.350000381469727,21.049999237060547,19.899999618530273,20.649999618530273,81697
2020-08-05,20.100000381469727,20.899999618530273,19.649999618530273,20.649999618530273,31373
2020-08-06,20.0,20.350000381469727,19.100000381469727,20.350000381469727,8037
2020-08-07,19.75,20.200000762939453,19.5,20.049999237060547,41210
2020-08-10,20.049999237060547,20.399999618530273,19.75,20.100000381469727,47835
2020-08-11,19.899999618530273,20.799999237060547,19.799999237060547,20.649999618530273,68799
2020-08-12,19.399999618530273,20.399999618530273,19.0,20.200000762939453,12467
2020-08-13,19.149999618530273,19.700000762939453,17.899999618530273,19.700000762939453,81338
2020-08-14,19.799999237060547,20.200000762939453,19.0,19.0,101619
2020-08-18,19.399999618530273,20.0,18.649999618530273,20.0,15437
2020-08-19,19.200000762939453,19.950000762939453,18.799999237060547,19.0,26107
2020-08-20,19.200000762939453,19.649999618530273,18.950000762939453,19.649999618530273,2038
2020-08-21,18.899999618530273,19.75,18.700000762939453,19.600000381469727,22617
2020-08-24,18.200000762939453,19.649999618530273,18.0,18.899999618530273,24609
2020-08-25,18.149999618530273,18.700000762939453,17.799999237060547,17.799999237060547,12996
2020-08-26,17.549999237060547,18.700000762939453,17.5,18.149999618530273,19590
2020-08-27,18.149999618530273,18.5,17.600000381469727,18.5,21300
2020-08-28,18.399999618530273,18.399999618530273,18.0,18.299999237060547,23593
2020-08-31,18.450000762939453,18.75,18.100000381469727,18.75,35703
2020-09-01,18.600000381469727,18.600000381469727,17.549999237060547,17.549999237060547,20522
2020-09-02,18.25,18.799999237060547,17.75,18.799999237060547,36026
2020-09-03,18.149999618530273,18.299999237060547,17.75,18.299999237060547,9301
2020-09-04,18.049999237060547,18.149999618530273,16.649999618530273,18.100000381469727,20112
2020-09-07,17.899999618530273,18.350000381469727,17.0,18.149999618530273,94295
2020-09-08,17.649999618530273,18.100000381469727,17.100000381469727,17.899999618530273,1135
2020-09-09,17.399999618530273,17.950000762939453,17.0,17.700000762939453,8713
2020-09-10,17.600000381469727,18.0,17.399999618530273,18.0,5605
2020-09-11,17.649999618530273,17.950000762939453,16.950000762939453,17.950000762939453,5099
2020-09-14,17.0,17.950000762939453,16.700000762939453,17.950000762939453,29721
2020-09-15,17.200000762939453,17.399999618530273,17.0,17.0,18319
2020-09-16,16.799999237060547,17.700000762939453,16.0,17.399999618530273,26909
2020-09-17,16.450000762939453,17.350000381469727,15.550000190734863,17.350000381469727,38047
2020-09-18,16.75,17.0,16.149999618530273,16.450000762939453,24881
2020-09-21,16.700000762939453,17.200000762939453,16.450000762939453,17.200000762939453,26961
2020-09-22,16.799999237060547,17.200000762939453,16.200000762939453,17.200000762939453,15747
2020-09-23,16.75,17.0,16.0,16.0,45875
2020-09-24,17.700000762939453,17.700000762939453,16.75,17.200000762939453,19386
2020-09-25,17.700000762939453,17.899999618530273,16.799999237060547,17.899999618530273,3524
2020-09-28,17.5,18.0,17.0,18.0,27285
2020-09-29,17.5,17.700000762939453,17.0,17.700000762939453,13564
2020-09-30,17.549999237060547,17.950000762939453,17.100000381469727,17.899999618530273,9786
2020-10-01,17.75,17.899999618530273,17.5,17.899999618530273,23780
2020-10-02,17.850000381469727,18.0,17.25,18.0,1298
2020-10-05,17.850000381469727,18.0,17.299999237060547,17.950000762939453,13840
2020-10-06,17.75,18.049999237060547,17.299999237060547,17.5,5526
2020-10-07,17.5,18.299999237060547,17.200000762939453,18.299999237060547,20568
2020-10-08,17.200000762939453,17.799999237060547,17.0,17.799999237060547,43048
2020-10-09,17.600000381469727,17.700000762939453,17.200000762939453,17.600000381469727,27113
2020-10-13,17.600000381469727,18.100000381469727,17.100000381469727,18.100000381469727,49372
2020-10-14,17.600000381469727,17.899999618530273,17.350000381469727,17.899999618530273,10803
2020-10-15,17.450000762939453,17.649999618530273,17.049999237060547,17.600000381469727,44851
2020-10-16,17.549999237060547,17.75,17.0,17.75,69992
2020-10-19,19.850000381469727,20.5,17.399999618530273,17.799999237060547,230751
