Price,('Close', 'BMA.BA'),('High', 'BMA.BA'),('Low', 'BMA.BA'),('Open', 'BMA.BA'),('Volume', 'BMA.BA')
Ticker,BMA.BA,BMA.BA,BMA.BA,BMA.BA,BMA.BA
Date,,,,,
2020-04-17,139.28477478027344,151.4018516958184,136.82028456016258,146.22641972657652,385092
2020-04-20,145.97996520996094,146.51394560108392,136.3684560552449,138.832946224918,157492
2020-04-21,140.35269165039062,145.81563873547736,138.01142145104336,145.81563873547736,188791
2020-04-22,140.14732360839844,142.73503285916604,138.01142745519363,140.39376255796242,165077
2020-04-23,142.2421417236328,144.5423348795901,136.61489712133908,140.31163209286336,199310
2020-04-24,132.17881774902344,138.257901021738,128.44101768649503,138.257901021738,331723
2020-04-27,134.7254638671875,135.54696059808498,128.1534900200076,133.08247040539254,246124
2020-04-28,159.04176330566406,159.3703569658025,141.3385072284848,141.3385072284848,656950
2020-04-29,158.3434600830078,162.73847164148188,151.56611354248997,162.65631697242824,538787
2020-04-30,152.01795959472656,161.01334552387286,148.5265987861732,157.76843622057916,188235
2020-05-04,152.05905151367188,152.387645195493,141.29743921091537,147.95156781568014,492732
2020-05-05,156.12542724609375,157.7273430671105,147.8693841254161,156.08434991016142,390375
2020-05-06,159.94540405273438,161.6705521267187,149.92314687803366,155.63254640281832,577014
2020-05-07,176.29319763183594,183.19376492904664,156.9058704100803,160.23293456714595,601336
2020-05-08,176.90933227539062,184.83677099516495,176.62180339537986,179.9077904352939,297874
2020-05-11,192.92848205566406,193.33923035679595,170.46054496973258,175.80027288444708,338508
2020-05-12,200.8970184326172,211.12464973576496,196.33770928734563,197.15920597892446,520973
2020-05-13,189.35498046875,197.5699470834463,181.59183952487084,197.5699470834463,408120
2020-05-14,192.23023986816406,195.14655584325857,183.1937756008572,184.01527235243054,402657
2020-05-15,187.42445373535156,196.74844562995358,186.4797376116888,194.77685870446433,700085
2020-05-18,189.84786987304688,196.33768801950697,184.83673558321786,191.81945670525053,648176
2020-05-19,182.12582397460938,186.15116550447706,179.08628855657565,183.85097213527345,236920
2020-05-20,186.5208282470703,187.3012476050825,181.14002235491532,183.19376410497105,169413
2020-05-21,196.99490356445312,200.44518706428855,184.3849246920877,186.31544687660167,535891
2020-05-22,194.69471740722656,201.63636199764824,190.58723391762263,190.58723391762263,355146
2020-05-26,196.50201416015625,201.26669767330893,194.0786013278336,196.37879466539476,285504
2020-05-27,191.3265838623047,197.15921567332538,184.0974226489857,196.50201578073856,428833
2020-05-28,183.27590942382812,190.46400518172072,177.64865230220306,189.35497967934248,222758
2020-05-29,162.20452880859375,182.61872781193952,159.78111593256395,182.61872781193952,1194902
2020-06-01,174.9376983642578,175.75919496379416,168.48895757892342,171.69278930309787,600905
2020-06-02,195.06439208984375,195.51621778922282,179.9488575773,179.9488575773,1000300
2020-06-03,208.37261962890625,212.35688338338585,195.68049893176297,196.25554407801673,890875
2020-06-04,206.11351013183594,208.2494064945154,202.17033613157298,207.8386581582343,351141
2020-06-05,209.68704223632812,215.2321452141742,206.11352641436469,211.9461582643395,470529
2020-06-08,228.49928283691406,233.30504314098354,214.82136894847605,214.82136894847605,529327
2020-06-09,215.7250213623047,221.39334312971584,209.48164192236564,217.69660827226232,734473
2020-06-10,215.27317810058594,219.54497052995194,204.55265729451088,211.94612683527635,386933
2020-06-11,195.51620483398438,213.54806652633053,191.4908762190671,213.54806652633053,778948
2020-06-12,199.87013244628906,204.1419124122941,192.230211285621,203.32041578286837,492136
2020-06-16,193.46246337890625,208.61907424489453,192.6409667191232,201.26668164684514,286733
2020-06-17,179.0452117919922,195.51622391907458,177.44329565764752,195.51622391907458,673970
2020-06-18,169.8444366455078,174.15729416613135,161.83484410720698,174.15729416613135,526749
2020-06-19,184.3438262939453,184.67243244475355,174.1983511204375,174.97877035916227,853058
2020-06-22,178.7166290283203,186.8905195752621,173.7465709457931,184.34387451428398,494506
2020-06-23,179.5791778564453,183.80988071131364,172.51430144972454,180.7292681854257,465367
2020-06-24,178.34693908691406,179.82562312304773,174.28052038241185,178.63445541169787,652601
2020-06-25,186.56190490722656,187.3012469205265,181.55077004138752,182.37226673840738,520053
2020-06-26,174.85557556152344,183.52235561700272,174.15729836068206,183.52235561700272,698957
