Price,('Close', 'CELU.BA'),('High', 'CELU.BA'),('Low', 'CELU.BA'),('Open', 'CELU.BA'),('Volume', 'CELU.BA')
Ticker,CELU.BA,CELU.BA,CELU.BA,CELU.BA,CELU.BA
Date,,,,,
2020-04-17,23.79990005493164,24.59989786548287,22.999904151721093,23.999899984404617,9606
2020-04-20,23.44990348815918,23.79990051042426,22.64990566229725,22.99990459190305,5739
2020-04-21,23.949901580810547,24.099900578159982,22.999904752029554,24.099900578159982,2455
2020-04-22,23.899900436401367,24.699898260901847,22.949905523191738,24.199900335841818,7816
2020-04-23,23.899900436401367,24.199900335841818,22.999904552761453,24.199900335841818,10072
2020-04-24,22.899904251098633,23.949901022760475,22.899904251098633,23.949901022760475,4560
2020-04-27,24.199899673461914,24.199899673461914,22.799903995740788,23.499901834601353,9628
2020-04-28,25.499893188476562,25.499893188476562,24.149898461736143,24.649896367392547,26712
2020-04-29,24.69989776611328,26.149890575336673,24.099899886592265,26.149890575336673,12846
2020-04-30,23.699901580810547,24.749896423729478,23.09990371028231,24.699897395910728,24748
2020-05-04,22.59990692138672,24.149899748577578,22.399906985530787,24.149899748577578,29570
2020-05-05,23.79990005493164,23.999899984404617,23.099904116457584,23.099904116457584,9833
2020-05-06,24.349899291992188,24.499898287796267,23.499902439314788,24.499898287796267,7777
2020-05-07,25.59989356994629,25.799891591076868,24.89989572763757,24.89989572763757,35293
2020-05-08,25.99989128112793,26.599889153699014,24.99989546262301,25.799891354490683,41574
2020-05-11,26.899887084960938,26.899887084960938,25.49989332319484,26.049890259386313,32709
2020-05-12,26.899887084960938,27.699884882642028,26.049890259386313,27.299885030131158,20687
2020-05-13,25.79989242553711,26.899888253025438,24.49989857044955,26.799888285555458,6244
2020-05-14,25.99989128112793,26.449890162391405,24.74989650799678,25.399893408556846,40901
2020-05-15,25.79989242553711,26.59989025795623,25.499894430467897,25.499894430467897,10960
2020-05-18,25.499893188476562,26.59988896238878,24.74989632999196,25.999891094132966,36833
