Price,('Close', 'BMA'),('High', 'BMA'),('Low', 'BMA'),('Open', 'BMA'),('Volume', 'BMA')
Ticker,BMA,BMA,BMA,BMA,BMA
Date,,,,,
2020-04-17,12.399561882019043,13.59488266036831,12.255821807759819,13.59488266036831,745500
2020-04-20,12.618959426879883,13.163662182058037,12.036429189624211,12.444957338236,395300
2020-04-21,11.79433822631836,12.513044461321728,11.748945972581728,12.149907874399478,475700
2020-04-22,11.52198600769043,12.043993672671844,11.393376186875203,12.043993672671844,448900
2020-04-23,11.491724014282227,11.688422563097122,11.34798321106232,11.574943019580635,783200
2020-04-24,10.977282524108887,11.574942940270315,10.803279740892469,11.514420421278171,540200
2020-04-27,10.704931259155273,11.181546672594449,10.281273594866267,11.181546672594449,604900
2020-04-28,12.43739128112793,12.482782814603747,10.95458723886653,10.977283727089855,917300
2020-04-29,13.239314079284668,13.466273172026975,12.550869862599523,13.012354986542363,686200
2020-04-30,12.339040756225586,13.31496806422446,11.998601383532117,12.951832925747528,430800
2020-05-01,11.52198600769043,12.051559168450796,11.347983933686884,11.839729615552494,399100
2020-05-04,12.180168151855469,12.263385708831661,11.234502945080518,11.347982481299393,509500
2020-05-05,11.975905418395996,12.777829196592975,11.741380825738254,12.316345506907838,540300
2020-05-06,12.391999244689941,12.520609801769677,11.423638761238696,11.93808026807217,545600
2020-05-07,13.594883918762207,14.427069676585896,12.074254655135293,12.437390507789667,1254900
2020-05-08,14.003412246704102,14.343850896486009,13.640277109748428,14.003412246704102,598800
2020-05-11,14.782641410827637,15.107949078405992,13.292271899053176,13.836976062938586,822900
2020-05-12,15.160906791687012,16.31083470054686,14.971773731568986,15.100382827197338,809400
2020-05-13,13.821845054626465,15.168471584918143,13.466273960741606,15.168471584918143,1166500
2020-05-14,14.48002815246582,14.578378162193475,12.687047360963524,13.617581768855647,796000
2020-05-15,14.162284851074219,14.880991149524156,14.03367429586647,14.37411442523137,554000
2020-05-18,14.646466255187988,15.047427463428443,14.24550360397664,14.835599336198284,683400
2020-05-19,13.980713844299316,14.828030490758623,13.466271749267298,14.828030490758623,843700
2020-05-20,14.4346342086792,14.706986260361843,14.056368111551368,14.056368111551368,573500
2020-05-21,15.516475677490234,15.660217200284743,14.21524080605504,14.472460427886897,729900
2020-05-22,15.735869407653809,15.735869407653809,14.790204144141663,15.455953297717793,885600
2020-05-26,15.849352836608887,16.42431613563266,15.281953591044905,16.015789429171463,950600
2020-05-27,15.592131614685059,16.2881414084883,14.828033796479366,16.242748430239406,621100
2020-05-28,14.7372465133667,16.07630881766902,14.63889796491862,15.887175772755267,859600
2020-05-29,12.98209285736084,14.93394593890892,12.558435215660285,14.706986848740584,6713700
2020-06-01,13.799147605895996,14.268198220134932,13.26957591436829,13.436012484339162,1055800
2020-06-02,15.493780136108398,15.743435720928586,13.958020591869671,14.200110681032184,1172000
2020-06-03,16.613449096679688,16.795018123754243,15.508912599306337,15.955266784675263,941800
2020-06-04,16.310836791992188,16.69666845726244,15.955267112847094,16.65127692104562,625500
2020-06-05,16.386489868164062,17.695290430051926,16.151965253963382,17.324589767937667,880100
2020-06-08,18.11894989013672,18.30051747627489,16.734495783233616,16.734495783233616,1066700
2020-06-09,16.779882431030273,17.324585030772422,15.887174310336109,16.9387534815078,894200
2020-06-10,16.68910026550293,17.203542402782755,15.985525074397914,16.69666576081242,558300
2020-06-11,15.191166877746582,16.5529242927813,15.168470391740083,15.856914594592942,819100
2020-06-12,16.29570770263672,16.32596824664653,15.425694335562074,15.864483045986512,589700
2020-06-15,15.811521530151367,15.985523577059078,15.440820952533418,15.592127958609154,454500
2020-06-16,15.841788291931152,16.832845296359068,15.788831256705604,16.711800232137534,530800
2020-06-17,14.96420955657959,15.909874940623453,14.964209556579592,15.872047459479182,728500
2020-06-18,14.124459266662598,14.835600091498279,14.04880574181268,14.283330370173555,732600
2020-06-19,15.17603588104248,15.463518931794413,14.321155110060555,14.449765644771537,851900
2020-06-22,14.578376770019531,15.22142946962305,14.374112716680045,15.153341451843222,530700
2020-06-23,14.994471549987793,15.516479296542155,14.67672789247266,14.752381419113597,560500
2020-06-24,14.926380157470703,15.183601224316693,14.555679547715172,14.873423133644295,433700
2020-06-25,15.705612182617188,15.962833303990156,14.737250229038304,14.88855728030628,689500
2020-06-26,14.86585521697998,15.599692264674795,14.790201719706126,15.440819776102655,462600
2020-06-29,14.941514015197754,15.455956247609029,14.775077416523322,15.206300628111904,398500
