Price,('Close', 'ALUA.BA'),('High', 'ALUA.BA'),('Low', 'ALUA.BA'),('Open', 'ALUA.BA'),('Volume', 'ALUA.BA')
Ticker,ALUA.BA,ALUA.BA,ALUA.BA,ALUA.BA,ALUA.BA
Date,,,,,
2020-04-17,23.440441131591797,23.760291558877917,22.755048105854932,22.846434191228767,525014
2020-04-20,24.171527862548828,24.30860611790209,22.38950531382266,23.394748758154225,469255
2020-04-21,24.171527862548828,24.30860611790209,23.440440928923785,24.125833948734684,559258
2020-04-22,24.94830322265625,25.03968929990937,24.080139846362762,24.30860416797333,485568
2020-04-23,25.176769256591797,25.496619677209182,24.399991904721162,25.496619677209182,732818
2020-04-24,24.4456844329834,25.49662005065227,23.76029141149788,25.2681557101571,529417
2020-04-27,25.359539031982422,25.40523119788535,24.491373935471568,25.131074716378976,402882
2020-04-28,26.27339744567871,26.319089613583838,25.359540143220322,25.54231230092979,755386
2020-04-29,26.684635162353516,26.776019502387513,24.674148306803552,26.501862996196408,751568
2020-04-30,27.781259536743164,28.05541775249101,26.501859759052927,26.958788375588323,797560
2020-05-04,27.552799224853516,28.238192249068998,26.82171402957484,28.146806163898013,424804
2020-05-05,28.96927833557129,29.10635658777478,27.689876666886605,28.329577501228947,805780
2020-05-06,29.106355667114258,29.563282578991355,27.87264795021706,29.19774174670747,890951
2020-05-07,28.96927833557129,29.563283514104892,28.329577501228947,29.060662675010583,1026799
2020-05-08,27.781259536743164,29.380511437661394,27.507103064039665,28.9692749855618,1390158
2020-05-11,28.7865047454834,28.832196912940987,26.501861511714875,27.964033529935623,982784
2020-05-12,28.603731155395508,29.471896237916212,27.46140959578635,28.78650330215072,935309
2020-05-13,27.598487854003906,29.334814424532702,25.95354386505764,29.243430099905908,278861
2020-05-14,28.64942741394043,28.740813494815143,26.867404937539323,26.867404937539323,744976
2020-05-15,28.96927833557129,29.3805148352263,28.740814000883958,28.786506170603605,756042
2020-05-18,28.877891540527344,29.700362776498398,28.420962882427368,29.380514110264016,691045
2020-05-19,28.7865047454834,29.243433392237105,28.329576098729696,28.740812578025814,583946
2020-05-20,28.00972557067871,29.243433259941376,27.46141084844592,28.740812448003915,773946
2020-05-21,28.740814208984375,28.786506379034858,27.872649033668672,28.329577706351767,840197
2020-05-22,28.64942741394043,29.197742156144194,28.32957700240119,28.603733501980816,552871
2020-05-26,28.64942741394043,29.243434325059294,28.055420502821566,28.558041333065717,312151
2020-05-27,29.380512237548828,29.426204403228603,27.461409904199197,28.649425385361674,611048
2020-05-28,30.06590461730957,30.340061092336878,28.42096053801264,29.243431706138924,1573734
2020-05-29,30.888376235961914,31.071148394322783,29.700362435749717,30.157291088607405,929143
2020-06-01,32.44193649291992,32.53332083508402,31.071150443923305,31.29961478542274,1169099
2020-06-02,33.721336364746094,33.9041050391286,32.80747904847752,32.85317121707315,904362
2020-06-03,34.36103439331055,35.092123050006194,32.94455622161861,33.72133704783547,931189
2020-06-04,35.04642868041992,35.36628085098347,32.94455743051474,35.18350868010276,731327
2020-06-05,36.64567565917969,36.82844781302398,35.18350540060316,35.18350540060316,1729624
2020-06-08,38.3363151550293,38.47339166096044,36.737064849876255,37.01122134782755,781584
2020-06-09,37.87937927246094,38.382000003865315,34.72657143206862,38.290615684005736,1146432
2020-06-10,38.15354537963867,38.382009723229324,36.097366287322814,38.24492972263924,1215727
2020-06-11,36.23444366455078,37.74230613142678,35.640435019785436,37.55953397256906,865104
2020-06-12,36.23444366455078,37.468149636184684,34.772269879777994,37.01122098208487,642486
2020-06-16,37.28538131713867,38.153546546553564,36.46291174671087,36.46291174671087,1058736
2020-06-17,35.549049377441406,37.83369256400991,34.772268602354806,37.69661257838026,634882
