Price,('Close', 'CGPA2.BA'),('High', 'CGPA2.BA'),('Low', 'CGPA2.BA'),('Open', 'CGPA2.BA'),('Volume', 'CGPA2.BA')
Ticker,CGPA2.BA,CGPA2.BA,CGPA2.BA,CGPA2.BA,CGPA2.BA
Date,,,,,
2020-04-17,17.331579208374023,17.4273341528924,17.23582426385565,17.23582426385565,1872
2020-04-20,18.193368911743164,18.193368911743164,17.379454674100998,17.379454674100998,208
2020-04-21,18.480632781982422,19.10303899868473,17.235824001325064,17.810351833310623,3246
2020-04-22,18.193368911743164,19.055159705445764,18.193368911743164,18.48063190085285,1054
2020-04-23,17.42733383178711,18.19336972107228,17.235823946279,18.19336972107228,2127
2020-04-24,16.565540313720703,16.75705018929058,16.27827732673942,16.75705018929058,4105
2020-04-27,16.565540313720703,17.235823051841738,15.79950446418826,17.235823051841738,4638
2020-04-28,17.475210189819336,17.475210189819336,15.79950510312433,16.086768101722605,12071
2020-04-29,16.996437072753906,17.235823510398326,16.757050635109486,17.235823510398326,6561
2020-04-30,16.996437072753906,17.953982823331593,16.661295694777,17.666719828707716,2853
2020-05-04,16.42190933227539,16.517664273046027,16.27827783430623,16.517664273046027,1609
2020-05-05,16.517663955688477,18.001859116809612,16.469787399409814,17.235823258109715,5177
2020-05-06,18.672142028808594,18.672142028808594,16.086767786577976,16.56554065911153,27816
2020-05-07,18.815773010253906,19.629687236556567,18.720018073093563,19.150914377128355,20713
2020-05-08,18.863651275634766,19.62968711544416,18.815772894163235,19.62968711544416,3802
2020-05-11,18.95940589904785,18.95940589904785,17.81035204762372,18.863652781209414,8733
2020-05-12,19.19879150390625,21.161761381806908,18.767897013420914,19.629687820765156,3044
2020-05-13,19.24666976928711,20.587233442102814,19.055159890439054,20.108460571356236,1822
2020-05-14,20.20421600341797,20.443602444628198,19.725443120997515,20.108461061659156,10498
2020-05-15,20.778743743896484,21.066006741642166,19.67756465766631,20.204215922031523,10527
2020-05-18,21.353269577026367,21.784165896742127,21.066006581464915,21.066006581464915,6650
