Price,('Close', 'LOMA'),('High', 'LOMA'),('Low', 'LOMA'),('Open', 'LOMA'),('Volume', 'LOMA')
Ticker,LOMA,LOMA,LOMA,LOMA,LOMA
Date,,,,,
2020-04-17,3.035822629928589,3.1640969088368958,2.9845129999198043,3.0871322599373734,319200
2020-04-20,2.9845130443573,3.035822675130052,2.8647903686678626,2.9503066238421316,389100
2020-04-21,2.864790678024292,2.9503069424330945,2.8391358598675622,2.916100518224122,900200
2020-04-22,2.907548666000366,2.9631339986905547,2.8562388301447523,2.9161002713285766,305400
2020-04-23,2.8220322132110596,2.924651673922441,2.7792741895339588,2.8818934463590007,518600
2020-04-24,2.847687244415283,2.9246518967852237,2.6766551366739817,2.822032428254088,264400
2020-04-27,2.8733420372009277,2.9674098995797267,2.7621711680734924,2.9503066889447367,524500
2020-04-28,3.0529260635375977,3.0871324860488416,2.8989971622369985,2.9417551903760537,565500
2020-04-29,3.1127874851226807,3.318026222646004,3.0871324645317006,3.206855146372956,674500
2020-04-30,3.0956838130950928,3.1469936461309316,2.9930645547960992,3.121338831556183,317600
2020-05-01,2.975961446762085,3.1042357279050377,2.9503066313107644,3.1042357279050377,151500
2020-05-04,2.864790678024292,2.9332037303286085,2.7450681932928873,2.9332037303286085,698500
2020-05-05,2.8391356468200684,3.035822775148717,2.7365163818936544,2.864790463051672,489200
2020-05-06,2.924651622772217,3.044374086974232,2.745067722582858,2.8305837684414406,592600
2020-05-07,2.975961446762085,3.1469937536572385,2.9417550261603242,3.018719472514286,960600
2020-05-08,3.0187196731567383,3.121339145669084,2.9417552216872513,2.975961644562579,1257300
2020-05-11,3.2838194370269775,3.322301762158415,2.975961447634528,3.0614774991640004,638300
2020-05-12,3.5232644081115723,3.696862208266113,3.3436807089258123,3.3436807089258123,1111000
2020-05-13,3.138442277908325,3.62588399546754,3.1127874613992272,3.617332593850865,589800
2020-05-14,3.198303461074829,3.275267909270058,3.0289815527135127,3.1213390128796,746400
2020-05-15,3.32657790184021,3.3949907479000228,3.172648794319268,3.172648794319268,874900
2020-05-18,3.5232644081115723,3.600229054506094,3.4719547797727834,3.480506588382254,879400
2020-05-19,3.890984535217285,3.959397382010715,3.454852025250071,3.5318166817790457,839600
2020-05-20,3.7969162464141846,3.9765001532412034,3.574574111191137,3.942293733633456,956800
2020-05-21,3.8482260704040527,3.993603564974061,3.6686421544967134,3.814019649066722,362700
2020-05-22,3.9936037063598633,3.9936037063598633,3.6686422843778863,3.831122995368875,303800
2020-05-26,4.104774475097656,4.2159451361401015,3.985051597401652,4.019258017379741,285200
2020-05-27,3.9251904487609863,4.22449681849094,3.8909840298074307,4.190290399537384,335300
2020-05-28,3.9936037063598633,4.07911976273072,3.873881227440664,3.976500495085692,317400
2020-05-29,3.950845241546631,4.019258082613165,3.82257096066053,3.985051662079898,205700
2020-06-01,4.044912815093994,4.130428860363627,3.9508449614110632,3.9508449614110632,116600
2020-06-02,4.224496841430664,4.314288793614503,4.0620161466326365,4.0620161466326365,264600
2020-06-03,4.4297356605529785,4.523803523534091,4.177463404014759,4.284358573111071,360300
2020-06-04,4.233048915863037,4.446839273386883,4.198842491281042,4.412632848804887,192500
2020-06-05,4.395529270172119,4.459666616747446,4.275806794113306,4.275806794113306,282000
2020-06-08,4.54090690612793,4.575113328911465,4.356191978433204,4.506700483344394,522400
