Price,('Close', 'MIRG.BA'),('High', 'MIRG.BA'),('Low', 'MIRG.BA'),('Open', 'MIRG.BA'),('Volume', 'MIRG.BA')
Ticker,MIRG.BA,MIRG.BA,MIRG.BA,MIRG.BA,MIRG.BA
Date,,,,,
2020-04-17,465.1855163574219,473.5539330537988,448.9409427703373,463.7087369404142,6671
2020-04-20,486.3526916503906,489.3062505065671,448.94094613882214,469.1235983226946,12193
2020-04-21,477.49200439453125,492.2597983448776,467.15454862928885,492.2597983448776,5207
2020-04-22,486.3526916503906,492.25980936274357,476.50749546313574,477.49201508186127,6775
2020-04-23,467.6468811035156,491.7676149709601,458.7862033562911,491.7676149709601,7871
2020-04-24,477.49200439453125,477.49200439453125,443.5260783087347,462.72421044418496,11087
2020-04-27,571.0213623046875,571.0213623046875,474.53844246699896,477.4920012375404,55988
2020-04-28,619.2628784179688,624.1854768155679,576.9285321986164,576.9285321986164,50017
2020-04-29,620.2474365234375,640.9223510742188,580.8666469029018,620.2474365234375,20097
2020-04-30,664.55078125,664.55078125,603.0183015046297,620.2473958333334,48278
2020-05-04,650.2752075195312,679.3185362429623,631.0770749735345,669.473340065528,20359
2020-05-05,667.5043334960938,672.426931825711,635.0151845206201,657.6591368368593,13830
2020-05-06,662.5817260742188,671.4424029459393,639.9377740687105,667.5043243362858,14359
2020-05-07,678.3340454101562,684.2411633672839,654.7055735816457,664.5507701768585,16820
2020-05-08,663.5662231445312,689.16373323616,649.782948479808,677.3494978092544,12660
2020-05-11,673.411376953125,677.349455180921,644.8603098016036,669.473298725329,13867
2020-05-12,696.0553588867188,703.9315157058046,673.4114080318467,673.4114080318467,28308
2020-05-13,669.473388671875,708.8541762408088,659.6281917796415,707.8696565515854,6204
2020-05-14,686.2100830078125,689.1636414712607,640.9221865682725,664.5506542758586,13932
2020-05-15,687.1947021484375,694.0863395625336,680.795324549634,689.1637414096078,9213
2020-05-18,703.9315185546875,708.8541165865385,691.132763671875,700.977959735577,13190
2020-05-19,758.0801391601562,764.971776788885,679.3185662603998,701.9625184690798,37411
2020-05-20,753.1575927734375,775.8015465430964,751.1885533152063,758.0801914190156,15306
2020-05-21,766.9408569335938,774.3247547859711,757.5879196539157,759.0646992243912,28931
2020-05-22,774.81689453125,777.278193433827,755.1265033106337,766.9407380430034,9017
2020-05-26,763.0027465820312,785.6466990612399,759.064667889995,775.8015023311492,15053
2020-05-27,727.5599975585938,776.785978448891,713.7767229093105,763.0027037996078,10060
2020-05-28,708.3619384765625,726.5755532949314,689.1638039382818,726.5755532949314,17970
2020-05-29,718.6993408203125,722.6374194001498,691.1327907614512,696.0553889862479,7785
2020-06-01,754.1420288085938,754.1420288085938,718.6993224938295,718.6993224938295,10155
2020-06-02,760.0491333007812,777.2782263484025,754.1420156844539,754.1420156844539,32340
2020-06-03,784.6622314453125,785.6467511836379,760.0492379871786,760.0492379871786,19439
2020-06-04,795.9840698242188,804.352486142717,787.6156535057205,797.460849174542,26097
2020-06-05,827.98095703125,830.9345157364744,804.8447471736586,804.8447471736586,25338
2020-06-08,856.5320434570312,871.2998373097387,832.9035732926994,832.9035732926994,32363
2020-06-09,803.367919921875,856.0397136912626,798.4453223733341,845.7022588393268,25398
2020-06-10,831.9190673828125,843.7333026592548,792.0460233248198,803.3679987980769,12599
2020-06-11,786.6310424804688,828.4731192081532,757.0954589079855,828.4731192081532,14575
2020-06-12,811.7364501953125,825.0274654501782,753.1575311090528,793.522836697904,11223
2020-06-16,816.1666870117188,829.9499603750047,807.3060112781777,817.1512065376677,7916
2020-06-17,801.39892578125,826.0119149022958,784.6620931789389,826.0119149022958,4633
2020-06-18,757.5879516601562,777.7706066426556,718.6994213280235,772.8480078664362,12550
2020-06-19,806.321533203125,806.8137929914053,769.4020490821028,769.4020490821028,12027
