Price,('Close', 'BYMA.BA'),('High', 'BYMA.BA'),('Low', 'BYMA.BA'),('Open', 'BYMA.BA'),('Volume', 'BYMA.BA')
Ticker,BYMA.BA,BYMA.BA,BYMA.BA,BYMA.BA,BYMA.BA
Date,,,,,
2020-04-17,5.052364826202393,5.195626257207174,4.966407876011269,5.157422964703888,1817016
2020-04-20,5.291134357452393,5.367540482625813,4.966407753038781,5.138322107105551,3484910
2020-04-21,5.482149124145508,5.491700404423337,5.214727930485699,5.252930303949626,3913171
2020-04-22,5.4439473152160645,5.577657925911689,5.386641917312706,5.501251797236863,1996153
2020-04-23,5.386641502380371,5.472598447760957,5.329337024773729,5.443946895869502,3154388
2020-04-24,5.15742301940918,5.386641860977701,5.014161128943535,5.386641860977701,2343920
2020-04-27,5.195626258850098,5.319786501583767,5.157422966334732,5.319786501583767,3082944
2020-04-28,5.520352840423584,5.558555671614146,5.233828629876379,5.233828629876379,5783430
2020-04-29,5.472598552703857,5.692266560633969,5.272032648263923,5.577657603222935,3695722
2020-04-30,5.348438739776611,5.577657569077966,5.157422743397982,5.5394538202727395,3325682
2020-05-04,5.186075210571289,5.338887916057223,5.119219909513146,5.338887916057223,1566736
2020-05-05,5.252931118011475,5.4152946649543505,5.19562663305248,5.214728738627215,3935695
2020-05-06,5.40574312210083,5.453496776891228,5.2720325223347215,5.281583344881049,7822973
2020-05-07,5.5681071281433105,5.59675959825587,5.386641942038382,5.482149717805632,7136590
2020-05-08,5.634962558746338,5.768673173020587,5.558556428026583,5.625411735163707,8777284
2020-05-11,5.806876182556152,5.940586779727968,5.596759006496175,5.69226631422391,15108233
2020-05-12,6.007442474365234,6.102950704271986,5.864181045387633,5.864181045387633,16364608
2020-05-13,5.997891902923584,6.112501783618376,5.825978455705243,5.9787911720236835,1409167
2020-05-14,6.590041160583496,6.64734518140687,5.921485397446577,5.988340698995517,6583591
2020-05-15,6.962521553039551,7.010275209950126,6.399024829552925,6.590041288960273,9376336
2020-05-18,7.172638893127441,7.411408556518161,7.029377003504755,7.048478649846616,5291318
2020-05-19,7.46871280670166,7.6597288062735975,6.972072306873642,7.296798452881042,6549001
2020-05-20,7.621525287628174,7.755236353995252,7.296798673845998,7.697931415005959,3667315
2020-05-21,7.526016712188721,7.736134799432657,7.449610135009108,7.64062657795814,21731242
2020-05-22,7.611974239349365,7.736135394762205,7.296798458052972,7.487814457760301,6919644
2020-05-26,7.46871280670166,7.71703282764504,7.449610703009083,7.640627160522278,2651264
2020-05-27,7.4305100440979,7.602423483677689,7.335001814429247,7.602423483677689,3448559
2020-05-28,7.382755279541016,7.583322556635066,7.296798333013387,7.4496105806311155,2644930
2020-05-29,7.2872490882873535,7.3541043954518415,6.952971178641036,7.3541043954518415,2752120
2020-06-01,7.401856899261475,7.621524905147336,7.220391726176688,7.621524905147336,3406176
