Price,('Close', 'TXAR.BA'),('High', 'TXAR.BA'),('Low', 'TXAR.BA'),('Open', 'TXAR.BA'),('Volume', 'TXAR.BA')
Ticker,TXAR.BA,TXAR.BA,TXAR.BA,TXAR.BA,TXAR.BA
Date,,,,,
2020-04-17,20.802780151367188,21.14949282323869,19.935997645060223,20.412727362226484,513772
2020-04-20,21.06281280517578,21.14949138054506,20.15269189693912,20.802778732324256,688560
2020-04-21,21.149492263793945,21.2795093056495,20.629422443115327,21.062813684804777,493062
2020-04-22,21.5395450592041,21.842919259271618,21.322849438192506,21.62622363826002,378494
2020-04-23,21.886259078979492,21.929597544565965,20.022676953400854,21.669563444534152,598273
2020-04-24,21.626224517822266,21.929597076971888,20.716101880604036,21.929597076971888,660698
2020-04-27,22.23297119140625,22.319649773605523,21.669562886995653,21.669562886995653,589168
2020-04-28,24.26991081237793,24.356589395930573,22.016275906291543,22.362988587245646,1251883
2020-04-29,24.183231353759766,24.356588514592158,23.489806016943017,24.22657147059607,853665
2020-04-30,24.48660659790039,24.70330223151013,23.14309433082261,24.269910964290652,439092
2020-05-04,24.05321502685547,24.22657219285611,23.05641545549293,24.18323207472772,308124
2020-05-05,24.963336944580078,25.13669411703465,23.40312900551502,24.269911561274835,381234
2020-05-06,25.13669204711914,25.743440447490087,24.35658814182534,25.093353584202525,1155751
2020-05-07,25.656761169433594,25.83011666963372,25.006674323856338,25.18002982405647,1220225
2020-05-08,25.873456954956055,26.350186650215246,25.52674429901698,26.17683114887388,1063378
2020-05-11,26.653562545776367,26.783579593397157,24.789980454527846,25.87345860679518,858654
2020-05-12,25.310049057006836,27.65036075917635,24.443266577701895,26.87025685845318,1189678
2020-05-13,25.180030822753906,25.96013639099245,23.66316145624448,25.96013639099245,431721
2020-05-14,26.003475189208984,26.39352797834969,24.57328438445378,25.13669268290202,1677398
2020-05-15,26.870256423950195,27.303647656594553,25.526744264055225,26.350186614125693,431863
2020-05-18,26.523544311523438,27.65036087816643,26.263508574659095,27.65036087816643,427559
2020-05-19,26.39352798461914,26.82691923787557,26.003475195385782,26.82691923787557,645382
2020-05-20,26.7402400970459,27.04361429862872,26.00347465127516,26.826918676534763,715832
2020-05-21,27.73703956604004,27.823716492078802,26.69689992101098,27.043614238191594,1329940
2020-05-22,27.997074127197266,28.083754361224162,27.216970206775798,27.82371696565631,465980
2020-05-26,28.257108688354492,28.56048455274799,26.870257985881874,28.56048455274799,437504
2020-05-27,28.64716148376465,29.037214277148323,27.6503619213198,28.25710869038097,618599
2020-05-28,28.343788146972656,29.03721347920331,28.170430987286792,29.03721347920331,547330
2020-05-29,28.907196044921875,29.080553212176653,26.870258422588865,28.34378938448504,845258
2020-06-01,30.944135665893555,31.030812592601013,28.603822273151337,29.427266302923407,605318
2020-06-02,31.507543563842773,31.63756226562174,31.204171001709113,31.204171001709113,756312
