Price,('Close', 'EDN.BA'),('High', 'EDN.BA'),('Low', 'EDN.BA'),('Open', 'EDN.BA'),('Volume', 'EDN.BA')
Ticker,EDN.BA,EDN.BA,EDN.BA,EDN.BA,EDN.BA
Date,,,,,
2020-04-17,16.350000381469727,16.75,15.75,16.049999237060547,160650
2020-04-20,16.549999237060547,16.700000762939453,15.899999618530273,16.399999618530273,192309
2020-04-21,16.299999237060547,17.0,16.049999237060547,16.549999237060547,54462
2020-04-22,16.600000381469727,16.850000381469727,16.100000381469727,16.799999237060547,93109
2020-04-23,16.450000762939453,16.799999237060547,16.100000381469727,16.600000381469727,168209
2020-04-24,15.699999809265137,16.450000762939453,15.399999618530273,16.450000762939453,257161
2020-04-27,16.75,16.799999237060547,15.649999618530273,16.25,215444
2020-04-28,17.450000762939453,17.5,16.649999618530273,17.0,342200
2020-04-29,16.799999237060547,18.25,16.450000762939453,17.600000381469727,586294
2020-04-30,16.75,17.149999618530273,16.5,16.950000762939453,283442
2020-05-04,16.799999237060547,17.049999237060547,16.350000381469727,17.0,139836
2020-05-05,16.950000762939453,17.799999237060547,16.850000381469727,17.100000381469727,403484
2020-05-06,17.350000381469727,17.600000381469727,16.700000762939453,17.100000381469727,383779
2020-05-07,18.100000381469727,18.100000381469727,17.350000381469727,17.399999618530273,401659
2020-05-08,18.600000381469727,19.149999618530273,18.25,18.649999618530273,519109
2020-05-11,19.549999237060547,19.600000381469727,18.0,18.799999237060547,321489
2020-05-12,20.049999237060547,21.0,19.600000381469727,19.600000381469727,579391
2020-05-13,18.899999618530273,20.049999237060547,18.600000381469727,20.049999237060547,311054
2020-05-14,19.75,20.0,18.450000762939453,18.700000762939453,221114
2020-05-15,20.25,20.649999618530273,19.799999237060547,19.799999237060547,208618
2020-05-18,20.850000381469727,21.0,20.200000762939453,21.0,233113
2020-05-19,20.200000762939453,20.799999237060547,20.049999237060547,20.799999237060547,151377
2020-05-20,20.149999618530273,20.799999237060547,19.799999237060547,20.5,199619
