Price,('Close', 'COME.BA'),('High', 'COME.BA'),('Low', 'COME.BA'),('Open', 'COME.BA'),('Volume', 'COME.BA')
Ticker,COME.BA,COME.BA,COME.BA,COME.BA,COME.BA
Date,,,,,
2020-04-17,1.0703790187835693,1.077027462472126,1.0171931378148227,1.037137585535942,6443134
2020-04-20,1.1169170141220093,1.1235654558743013,1.0570826087412366,1.0637310504935287,4458162
2020-04-21,1.190049171447754,1.1966976142134438,1.1036210840332632,1.1169171843695953,7954050
2020-04-22,1.209993839263916,1.236587613067697,1.196697737557154,1.2033453958129707,7567224
2020-04-23,1.2299391031265259,1.2365875462180578,1.1834007866808884,1.223290660034994,6806056
2020-04-24,1.209993839263916,1.2299391696167516,1.1900492941062089,1.2299391696167516,6381944
2020-04-27,1.2897744178771973,1.3030704218716305,1.203345435368971,1.2166423227079526,7681089
2020-04-28,1.4094438552856445,1.41609229850745,1.296421890905154,1.296421890905154,10028474
2020-04-29,1.402795433998108,1.462630540585457,1.3296641278049608,1.422740763975392,6853505
2020-04-30,1.3562569618225098,1.429388161557507,1.3496085192521075,1.4160921597611051,4820334
2020-05-04,1.3496085405349731,1.356256983210219,1.2232905834397918,1.3296639977042723,3554531
2020-05-05,1.4426851272583008,1.4626304560832608,1.3496085946146743,1.3762023663812877,6506042
2020-05-06,1.5091685056686401,1.5291130457856832,1.4360364313863359,1.4426848731569937,7370548
2020-05-07,1.549058437347412,1.5756513222230646,1.5158162270724291,1.5158162270724291,5043751
2020-05-08,1.5557069778442383,1.5889483068783279,1.5357616504171505,1.5357616504171505,7808959
2020-05-11,1.5955969095230103,1.6022453526660894,1.5291133614366987,1.5690031369506943,6960044
2020-05-12,1.6022453308105469,1.642135203929808,1.588948444705766,1.608892988667856,6736077
2020-05-13,1.5291132926940918,1.5889483949473857,1.509168749356571,1.5822999521031933,1830711
2020-05-14,1.542410135269165,1.5623545798998184,1.5025202645140647,1.5224648072940974,3863693
2020-05-15,1.562354564666748,1.5756514498538141,1.5291132350434884,1.562354564666748,3940448
2020-05-18,1.6155413389205933,1.6221897815910848,1.5756514680926792,1.5822999107631708,4805261
2020-05-19,1.7219148874282837,1.741859234364907,1.6022452724308067,1.6088929300459003,15135460
2020-05-20,1.8548811674118042,1.8814741531084451,1.7285633075601965,1.7285633075601965,12641908
2020-05-21,1.881474256515503,1.9280125729386826,1.795046066757467,1.881474256515503,10449145
2020-05-22,1.8681780099868774,1.9014194376436182,1.8415842397054656,1.8814741099325591,7669901
