Price,('Close', 'BBAR.BA'),('High', 'BBAR.BA'),('Low', 'BBAR.BA'),('Open', 'BBAR.BA'),('Volume', 'BBAR.BA')
Ticker,BBAR.BA,BBAR.BA,BBAR.BA,BBAR.BA,BBAR.BA
Date,,,,,
2020-04-17,72.55982971191406,73.47830620364721,70.18708806912971,71.18210913478323,246105
2020-04-20,75.43008422851562,77.49665947880437,72.7129150665325,72.78945380922251,294971
2020-04-21,72.40673828125,76.53989370946734,72.33019955544663,76.15719424091999,197607
2020-04-22,71.18209838867188,73.93753328742409,70.4166994812668,73.47829511088709,145126
2020-04-23,68.8476333618164,71.71787943036679,68.1970454208511,71.18210250004962,409246
2020-04-24,67.08723449707031,68.19706089288663,64.3700652665795,67.35512302300543,229688
2020-04-27,70.30189514160156,70.41670615650202,63.10714356205281,67.3551102366541,576167
2020-04-28,79.71630096435547,81.1322878389211,72.71289947827835,72.71289947827835,714896
2020-04-29,83.31367492675781,84.19388489125431,78.79781993286623,83.42848593769746,636875
2020-04-30,78.6447525024414,85.3419941997296,77.5349262141319,83.61984633471263,448326
2020-05-04,81.0940170288086,81.47671650669731,73.55483848230683,78.60647042253188,445399
2020-05-05,82.16557312011719,83.04578304844456,77.45836858126242,81.13228574318086,901973
2020-05-06,85.64815521240234,85.87777142462052,77.76454262941992,80.67306136710096,788558
2020-05-07,93.87618255615234,97.20566682680204,83.73464645020645,85.64814382868681,771834
2020-05-08,95.02428436279297,99.23397290563736,93.91445234008468,95.2921728374016,955389
2020-05-11,105.89295959472656,106.35219200148408,90.31708479165881,94.90947893360756,748773
2020-05-12,106.50525665283203,113.27904186862769,103.36712804093493,106.39045148472465,1332884
2020-05-13,104.3621597290039,106.19911268215144,101.79806837280101,104.85966441408826,232872
2020-05-14,107.42374420166016,109.45204668895707,101.45363022826852,104.05598191148654,423626
2020-05-15,106.9645004272461,112.3222929352298,104.09425444082626,108.686648019098,428949
2020-05-18,111.05940246582031,112.13095642212014,106.9645130374832,110.98285789220081,526044
2020-05-19,104.2473373413086,110.21745164100885,102.94616142858119,108.53357624341685,752190
2020-05-20,107.53856658935547,107.5768388776909,104.09427086229425,106.3904680136684,243359
2020-05-21,111.02112579345703,113.27905047729344,105.70160515077485,107.53855805445762,459507
2020-05-22,109.68169403076172,112.93464022548282,107.15587464963617,110.37054855331256,633091
2020-05-26,109.98783111572266,113.27904906629907,109.5668593408126,110.98285212576597,198964
2020-05-27,106.73489379882812,110.98286080690492,104.09426944647635,110.98286080690492,438992
2020-05-28,101.33881378173828,107.07930576361305,100.26725995007932,107.07930576361305,227443
