Price,('Close', 'CTIO.BA'),('High', 'CTIO.BA'),('Low', 'CTIO.BA'),('Open', 'CTIO.BA'),('Volume', 'CTIO.BA')
Ticker,CTIO.BA,CTIO.BA,CTIO.BA,CTIO.BA,CTIO.BA
Date,,,,,
2020-04-17,59.01805114746094,59.01805114746094,58.92725553114791,59.01805114746094,469
2020-04-20,59.01805114746094,59.38124053997453,56.566531407071025,56.566531407071025,2859
2020-04-21,58.110084533691406,60.83399474620819,56.29414439201355,60.83399474620819,2300
2020-04-22,60.83399200439453,63.557902094143536,59.018051944561854,59.018051944561854,9111
2020-04-23,60.83399200439453,60.83399200439453,58.654862547143004,60.83399200439453,7327
2020-04-24,60.83399200439453,60.83399200439453,58.11008191464552,60.83399200439453,7924
2020-04-27,63.37631607055664,63.557907320567686,62.64993721598815,63.557907320567686,11489
2020-04-28,66.1910171508789,68.09775284508906,64.46587269335099,65.3738427312855,20525
2020-04-29,65.37384033203125,66.28181033664279,64.01188532511392,65.9186209493459,12627
2020-04-30,61.28797912597656,66.73579949273002,61.28797912597656,64.82906374981867,12563
2020-05-04,59.47203826904297,63.2855097077563,59.290447029965854,61.287978368861076,1923
2020-05-05,59.47203826904297,62.468342204647534,58.654863838672476,59.47203826904297,13673
2020-05-06,61.28797912597656,61.741964156539346,59.4720390037254,59.4720390037254,16425
2020-05-07,62.649932861328125,63.10391788206239,61.83275843855412,63.10391788206239,14338
2020-05-08,63.55790328979492,65.37384338378907,62.46834200430312,62.46834200430312,8939
2020-05-11,68.0977554321289,68.0977554321289,62.649934997558596,63.55790506998698,24151
2020-05-12,68.27935028076172,69.00572914796095,65.82783372667328,68.09775902759304,24180
2020-05-13,67.18978881835938,69.00572905669341,65.46464420648958,69.00572905669341,7915
2020-05-14,68.82413482666016,69.00572607173362,68.09775599184239,69.00572607173362,6381
2020-05-15,68.5517349243164,68.8241286949202,66.28180992682248,68.73332615321138,6577
2020-05-18,70.36767578125,70.36767578125,66.73579574092741,68.46094014553293,12592
2020-05-19,69.3689193725586,70.27688950327988,67.46218348349636,70.27688950327988,10665
2020-05-20,68.0977554321289,70.36768061319987,68.0977554321289,69.36891491898103,18942
2020-05-21,69.9136962890625,69.9136962890625,65.46464150339703,68.09775612571022,45458
2020-05-22,69.9136962890625,69.9136962890625,68.09775612571022,69.00572620738636,6676
2020-05-26,69.00572204589844,71.72963212665759,68.00695640173906,71.72963212665759,29699
2020-05-27,66.73580169677734,68.09775683344627,66.37261227487988,68.09775683344627,8335
2020-05-28,65.82782745361328,66.73579748745622,65.46463805462379,66.28181247053476,6438
2020-05-29,65.82782745361328,68.55173755514211,65.82782745361328,66.28181247053476,4949
2020-06-01,66.1910171508789,67.18978280715454,64.91985771231825,65.3738427312855,7991
2020-06-02,67.00819396972656,67.37137645609494,65.37384507202127,66.37261076405811,8534
2020-06-03,66.28181457519531,68.0069590797281,65.46464013333643,67.18978463786922,4451
